Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site
Cr,Pt,0.75,0.25,bridge
Cr,Pt,0.5,0.5,bridge
Cr,Pd,0.75,0.25,hollow
Cr,Mn,0.5,0.5,bridge
Cr,Pd,0.75,0.25,bridge
Cr,Pd,0.75,0.25,top
Cr,Au,0.75,0.25,hollow
Cr,Ag,0.75,0.25,bridge
Cr,Ag,0.75,0.25,hollow
Cr,Cu,0.75,0.25,hollow
Cr,Cu,0.5,0.5,bridge
Cr,Cu,0.75,0.25,hollow
Cr,Zn,0.75,0.25,bridge
Mo,Sc,0.75,0.25,bridge
Mo,Sc,0.75,0.25,hollow
Mo,Ti,0.75,0.25,hollow
Mo,Ta,0.75,0.25,bridge
Mo,W,0.75,0.25,bridge
Mo,W,0.75,0.25,hollow
Mo,W,0.5,0.5,bridge
Mo,Re,0.75,0.25,hollow
Mo,Re,0.5,0.5,bridge
Mo,Tc,0.75,0.25,bridge
Mo,Tc,0.75,0.25,hollow
Mo,Re,0.75,0.25,hollow
Mo,Tc,0.75,0.25,hollow
Mo,Os,0.75,0.25,hollow
Mo,Re,0.75,0.25,hollow
Mo,Os,0.75,0.25,hollow
Ru,Pt,0.75,0.25,bridge
Mo,Os,0.5,0.5,bridge
Mo,Os,0.5,0.5,bridge
Mo,Ru,0.5,0.5,bridge
Mo,Ir,0.75,0.25,bridge
Mo,Ir,0.75,0.25,hollow
Ir,Mo,0.5,0.5,bridge
Mo,Rh,0.75,0.25,hollow
Mo,Rh,0.5,0.5,hollow
Mo,Rh,0.5,0.5,bridge
Ir,Mo,0.5,0.5,bridge
Mo,Rh,0.75,0.25,hollow
Mo,Ni,0.75,0.25,hollow
Mo,Rh,0.75,0.25,top
Mo,Ni,0.75,0.25,hollow
Mo,Ni,0.5,0.5,bridge
Mo,Fe,0.75,0.25,hollow
Mo,Fe,0.75,0.25,hollow
Mo,Mn,0.75,0.25,bridge
Mo,Mn,0.75,0.25,top
Mo,Fe,0.75,0.25,top
Mo,Mn,0.75,0.25,hollow
Mn,Mo,0.5,0.5,hollow
Mo,Pt,0.75,0.25,hollow
Mo,Pd,0.75,0.25,top
Mo,Pt,0.75,0.25,bridge
Pt,Ru,0.5,0.5,bridge
Pt,Ru,0.5,0.5,bridge
Mo,Pd,0.5,0.5,bridge
Mo,Pd,0.5,0.5,bridge
Mo,Au,0.75,0.25,top
Mo,Ag,0.75,0.25,top
Mo,Cu,0.75,0.25,hollow
Mo,Cu,0.75,0.25,hollow
Cu,Mo,0.5,0.5,bridge
Mo,Zn,0.75,0.25,hollow
Mo,Zn,0.5,0.5,bridge
Mo,Zn,0.5,0.5,hollow
Mo,Cd,0.75,0.25,bridge
Hg,Mo,0.5,0.5,top
W,Y,0.75,0.25,bridge
W,Y,0.75,0.25,hollow
W,Sc,0.75,0.25,hollow
W,Ti,0.75,0.25,hollow
W,La,0.75,0.25,bridge
W,Nb,0.75,0.25,bridge
W,V,0.75,0.25,hollow
W,Cr,0.75,0.25,hollow
W,Re,0.75,0.25,bridge
W,Ta,0.75,0.25,bridge
W,Nb,0.75,0.25,hollow
W,Cr,0.75,0.25,hollow
W,Tc,0.75,0.25,hollow
Tc,W,0.5,0.5,bridge
W,Ta,0.75,0.25,hollow
W,Tc,0.75,0.25,hollow
Tc,W,0.5,0.5,bridge
W,Tc,0.75,0.25,top
Tc,W,0.5,0.5,bridge
W,Os,0.75,0.25,top
Os,W,0.5,0.5,hollow
Os,W,0.5,0.5,hollow
W,Tc,0.75,0.25,top
Ru,Pd,0.75,0.25,bridge
W,Os,0.75,0.25,bridge
Os,W,0.5,0.5,hollow
Os,W,0.5,0.5,hollow
W,Os,0.75,0.25,hollow
Os,W,0.5,0.5,top
W,Os,0.75,0.25,hollow
Cr,Nb,0.75,0.25,top
Ru,W,0.5,0.5,bridge
Ru,W,0.5,0.5,bridge
W,Ir,0.75,0.25,hollow
W,Ir,0.75,0.25,bridge
Os,W,0.5,0.5,bridge
Ir,W,0.5,0.5,bridge
W,Rh,0.75,0.25,hollow
W,Rh,0.75,0.25,top
Rh,W,0.5,0.5,bridge
Rh,W,0.5,0.5,bridge
W,Ni,0.75,0.25,hollow
Os,W,0.5,0.5,bridge
W,Ni,0.75,0.25,hollow
W,Ru,0.75,0.25,bridge
W,Ru,0.75,0.25,bridge
Co,W,0.5,0.5,bridge
W,Mn,0.75,0.25,hollow
W,Mn,0.75,0.25,hollow
W,Pt,0.75,0.25,hollow
W,Pt,0.75,0.25,top
W,Fe,0.75,0.25,bridge
W,Fe,0.75,0.25,hollow
Pt,W,0.5,0.5,bridge
Pt,W,0.5,0.5,top
Pt,W,0.5,0.5,hollow
W,Pd,0.75,0.25,hollow
Pt,W,0.5,0.5,hollow
Au,W,0.5,0.5,bridge
W,Cu,0.75,0.25,bridge
W,Cu,0.75,0.25,hollow
Au,W,0.5,0.5,hollow
W,Zn,0.75,0.25,hollow
W,Zn,0.5,0.5,hollow
W,Cd,0.75,0.25,top
Cd,W,0.5,0.5,top
W,Zn,0.75,0.25,top
W,Cd,0.75,0.25,hollow
Re,Sc,0.75,0.25,hollow
Re,Zr,0.75,0.25,hollow
Re,Hf,0.75,0.25,bridge
Re,Ta,0.75,0.25,bridge
Re,Ta,0.75,0.25,bridge
Re,Nb,0.75,0.25,bridge
Re,V,0.75,0.25,bridge
Re,V,0.75,0.25,hollow
Re,Cr,0.75,0.25,bridge
Re,Mo,0.75,0.25,bridge
Re,W,0.75,0.25,bridge
Re,Tc,0.75,0.25,bridge
Re,Tc,0.5,0.5,bridge
Re,Os,0.75,0.25,bridge
Re,Os,0.75,0.25,hollow
Os,Re,0.5,0.5,bridge
Re,Os,0.75,0.25,hollow
Re,Ru,0.75,0.25,bridge
Re,Ru,0.75,0.25,bridge
Re,Ru,0.5,0.5,bridge
Re,Ru,0.5,0.5,bridge
Re,Ru,0.5,0.5,bridge
Re,Ir,0.75,0.25,bridge
Re,Ir,0.75,0.25,hollow
Ir,Re,0.5,0.5,bridge
Re,Rh,0.75,0.25,bridge
Re,Rh,0.5,0.5,bridge
Re,Rh,0.5,0.5,bridge
Re,Ni,0.75,0.25,hollow
Ni,Re,0.5,0.5,bridge
Ni,Re,0.5,0.5,hollow
Re,Co,0.75,0.25,bridge
Re,Ru,0.5,0.5,bridge
Re,Ir,0.75,0.25,top
Ir,Re,0.5,0.5,bridge
Re,Co,0.75,0.25,bridge
Co,Re,0.5,0.5,bridge
Re,Fe,0.75,0.25,bridge
Mn,Re,0.5,0.5,bridge
Re,Ni,0.75,0.25,bridge
Re,Fe,0.75,0.25,bridge
Re,Ni,0.75,0.25,hollow
Re,Pt,0.75,0.25,hollow
Re,Pt,0.75,0.25,hollow
Ag,Re,0.5,0.5,bridge
Re,Cu,0.75,0.25,bridge
Cu,Re,0.5,0.5,bridge
Re,Pt,0.75,0.25,hollow
Re,Pd,0.75,0.25,hollow
Re,Cu,0.75,0.25,bridge
Re,Zn,0.5,0.5,bridge
Re,Hg,0.75,0.25,bridge
Re,Hg,0.75,0.25,hollow
Tc,Sc,0.75,0.25,bridge
Tc,Ta,0.75,0.25,bridge
Tc,V,0.75,0.25,hollow
Tc,Mo,0.75,0.25,bridge
Os,Tc,0.5,0.5,hollow
Tc,W,0.75,0.25,bridge
Tc,V,0.75,0.25,bridge
Tc,W,0.75,0.25,hollow
Tc,V,0.75,0.25,hollow
Tc,W,0.75,0.25,hollow
Os,Tc,0.5,0.5,bridge
Tc,Os,0.75,0.25,bridge
Tc,Zr,0.75,0.25,bridge
Tc,Os,0.75,0.25,hollow
Tc,Y,0.75,0.25,bridge
Tc,Zr,0.75,0.25,hollow
Ag,Ru,0.5,0.5,bridge
Tc,Os,0.75,0.25,hollow
Ru,Au,0.75,0.25,bridge
Tc,Ru,0.75,0.25,bridge
Tc,Re,0.75,0.25,bridge
Tc,Ru,0.75,0.25,top
Tc,Re,0.75,0.25,bridge
Tc,Re,0.75,0.25,hollow
Tc,La,0.75,0.25,bridge
Tc,Hf,0.75,0.25,bridge
Tc,Cr,0.75,0.25,bridge
Tc,Hf,0.75,0.25,hollow
Tc,Cr,0.75,0.25,bridge
Tc,Cr,0.75,0.25,hollow
Cu,Ru,0.5,0.5,bridge
Cu,Ru,0.5,0.5,bridge
Tc,Rh,0.75,0.25,hollow
Rh,Tc,0.5,0.5,bridge
Ru,Tc,0.5,0.5,bridge
Tc,Rh,0.75,0.25,bridge
Tc,Rh,0.75,0.25,top
Pd,Tc,0.5,0.5,bridge
Os,Sc,0.75,0.25,bridge
Os,Sc,0.75,0.25,hollow
Tc,Cd,0.75,0.25,hollow
Ru,Zn,0.5,0.5,~
Cd,Ru,0.5,0.5,bridge
Ru,Hg,0.75,0.25,bridge
Ru,Zn,0.5,0.5,bridge
Ag,Ru,0.5,0.5,bridge
Tc,Hg,0.75,0.25,hollow
Tc,Mn,0.75,0.25,bridge
Tc,Hg,0.75,0.25,hollow
Tc,Mn,0.75,0.25,hollow
Tc,Mn,0.75,0.25,hollow
Os,La,0.75,0.25,bridge
Tc,Ir,0.75,0.25,bridge
Os,La,0.75,0.25,bridge
Tc,Cu,0.75,0.25,hollow
Tc,Cu,0.75,0.25,hollow
Tc,Cu,0.75,0.25,hollow
Tc,Fe,0.75,0.25,hollow
Tc,Fe,0.75,0.25,hollow
Os,Hf,0.75,0.25,hollow
Os,Hf,0.75,0.25,hollow
Ir,Tc,0.5,0.5,bridge
Os,Ta,0.75,0.25,hollow
Os,Cr,0.75,0.25,hollow
Os,Ta,0.75,0.25,hollow
Tc,Fe,0.75,0.25,hollow
Os,Tc,0.75,0.25,bridge
Os,Ru,0.75,0.25,bridge
Ir,Tc,0.5,0.5,bridge
Os,Re,0.75,0.25,bridge
Os,Ru,0.75,0.25,bridge
Os,Re,0.75,0.25,hollow
Tc,Pt,0.75,0.25,hollow
Os,Re,0.75,0.25,hollow
Os,Tc,0.75,0.25,hollow
Os,Ru,0.75,0.25,hollow
Os,Tc,0.75,0.25,hollow
Ir,Rh,0.75,0.25,bridge
Ir,Rh,0.5,0.5,bridge
Ir,Rh,0.5,0.5,bridge
Ir,Rh,0.5,0.5,bridge
Ir,Rh,0.75,0.25,bridge
Os,Ti,0.75,0.25,hollow
Os,Ti,0.75,0.25,hollow
Fe,Tc,0.5,0.5,bridge
Pt,Tc,0.5,0.5,bridge
Cu,Tc,0.5,0.5,bridge
Fe,Tc,0.5,0.5,hollow
Pt,Tc,0.5,0.5,bridge
Cu,Tc,0.5,0.5,hollow
Ru,Cu,0.75,0.25,bridge
Cu,Tc,0.5,0.5,hollow
Cu,Tc,0.5,0.5,hollow
Cu,Tc,0.5,0.5,hollow
Os,Ir,0.75,0.25,bridge
Os,Ir,0.75,0.25,bridge
Ir,Ni,0.75,0.25,bridge
Ir,Ni,0.75,0.25,bridge
Os,Ru,0.5,0.5,bridge
Ir,Ni,0.75,0.25,bridge
Os,Co,0.75,0.25,bridge
Os,Ru,0.5,0.5,bridge
Os,Co,0.75,0.25,bridge
Ni,Os,0.5,0.5,bridge
Os,Co,0.75,0.25,hollow
Co,Os,0.5,0.5,bridge
Os,Ru,0.5,0.5,bridge
Co,Os,0.5,0.5,bridge
Ni,Os,0.5,0.5,bridge
Co,Os,0.5,0.5,bridge
Ir,Os,0.5,0.5,bridge
Os,Rh,0.5,0.5,bridge
Ni,Os,0.5,0.5,bridge
Os,Rh,0.5,0.5,bridge
Os,Rh,0.5,0.5,bridge
Ir,Os,0.5,0.5,bridge
Os,Rh,0.5,0.5,bridge
Ir,Os,0.5,0.5,bridge
Os,Ni,0.75,0.25,bridge
Os,Ni,0.75,0.25,bridge
Tc,Zn,0.75,0.25,bridge
Tc,Zn,0.75,0.25,hollow
Co,Ir,0.5,0.5,bridge
Tc,Zn,0.75,0.25,hollow
Ir,Fe,0.75,0.25,bridge
Ir,Fe,0.75,0.25,hollow
Ir,Fe,0.75,0.25,hollow
Co,Ir,0.5,0.5,bridge
Fe,Ir,0.5,0.5,bridge
Fe,Ir,0.5,0.5,bridge
Ir,Mn,0.75,0.25,top
Ir,Mn,0.75,0.25,top
Fe,Os,0.5,0.5,bridge
Fe,Os,0.5,0.5,bridge
Os,Pt,0.75,0.25,bridge
Fe,Os,0.5,0.5,bridge
Os,Fe,0.75,0.25,top
Os,Fe,0.75,0.25,top
Ir,Pt,0.75,0.25,bridge
Ir,Pt,0.75,0.25,top
Ir,Pt,0.75,0.25,bridge
Ir,Pt,0.75,0.25,top
Os,Ag,0.75,0.25,bridge
Ir,Pt,0.75,0.25,bridge
Os,Ag,0.75,0.25,top
Os,Ag,0.75,0.25,top
Ag,Os,0.5,0.5,bridge
Ir,Zr,0.75,0.25,hollow
Ir,Zr,0.75,0.25,hollow
Ir,Hf,0.75,0.25,hollow
Ir,Hf,0.75,0.25,hollow
Ag,Os,0.5,0.5,bridge
Os,Fe,0.75,0.25,bridge
Os,Fe,0.75,0.25,hollow
Os,Mn,0.75,0.25,bridge
Ir,Ni,0.5,0.5,bridge
Ir,Ni,0.5,0.5,bridge
Os,Rh,0.75,0.25,bridge
Os,Mn,0.75,0.25,hollow
Os,Rh,0.75,0.25,bridge
Os,Mn,0.75,0.25,hollow
Ir,Ni,0.5,0.5,bridge
Os,Rh,0.75,0.25,bridge
Ir,Pt,0.5,0.5,bridge
Ir,Pt,0.5,0.5,bridge
Ir,Pt,0.5,0.5,bridge
Ir,Pt,0.5,0.5,bridge
Os,Cu,0.75,0.25,bridge
Os,Cu,0.75,0.25,bridge
Os,Cu,0.75,0.25,top
Os,Cu,0.75,0.25,top
Ir,Cr,0.75,0.25,hollow
Ir,Cr,0.75,0.25,hollow
Ru,Nb,0.75,0.25,hollow
Ru,Mo,0.75,0.25,hollow
Ru,Mo,0.75,0.25,hollow
Ru,Tc,0.75,0.25,hollow
Ir,Re,0.75,0.25,bridge
Ru,Tc,0.75,0.25,hollow
Os,Pt,0.5,0.5,bridge
Os,Pt,0.5,0.5,hollow
Ir,Pd,0.5,0.5,bridge
Ir,Pd,0.5,0.5,bridge
Ru,Cr,0.75,0.25,hollow
Os,Zn,0.5,0.5,bridge
Os,Zn,0.5,0.5,hollow
Os,Cd,0.75,0.25,bridge
Os,Cd,0.75,0.25,bridge
Os,Cd,0.75,0.25,top
Ru,Re,0.75,0.25,bridge
Ru,Re,0.75,0.25,bridge
Ir,Os,0.75,0.25,bridge
Ir,Os,0.75,0.25,bridge
Ir,Ag,0.75,0.25,bridge
Ir,Cu,0.75,0.25,bridge
Ir,Cu,0.75,0.25,bridge
Ir,Cu,0.75,0.25,top
Ir,Zn,0.5,0.5,~
Ir,Hg,0.75,0.25,top
Os,Pd,0.75,0.25,bridge
Os,Pd,0.75,0.25,bridge
Os,Pd,0.75,0.25,top
Os,Pd,0.75,0.25,top
Ir,Pd,0.75,0.25,bridge
Ir,Pd,0.75,0.25,bridge
Ir,Pd,0.75,0.25,top
Ir,Pd,0.75,0.25,top
Ir,Cd,0.75,0.25,hollow
Ir,Cd,0.75,0.25,hollow
Ir,Cd,0.75,0.25,top
Ir,Cd,0.75,0.25,top
Ru,Os,0.75,0.25,bridge
Ir,Ru,0.5,0.5,bridge
Ir,Ru,0.5,0.5,bridge
Ru,Os,0.75,0.25,hollow
Ru,Rh,0.75,0.25,bridge
Ru,Rh,0.75,0.25,bridge
Rh,Ru,0.5,0.5,bridge
Co,Ru,0.5,0.5,bridge
Co,Ru,0.5,0.5,bridge
Ru,Fe,0.75,0.25,bridge
Ru,Fe,0.75,0.25,bridge
Ru,Fe,0.75,0.25,hollow
Ir,Ru,0.75,0.25,bridge
Ir,Ru,0.75,0.25,hollow
Rh,La,0.75,0.25,bridge
Rh,La,0.75,0.25,bridge
Rh,Sc,0.75,0.25,bridge
Rh,Zr,0.75,0.25,hollow
Rh,Sc,0.75,0.25,hollow
Rh,Zr,0.75,0.25,hollow
Rh,Hf,0.75,0.25,hollow
Rh,Ti,0.75,0.25,hollow
Rh,Hf,0.75,0.25,hollow
Ru,La,0.75,0.25,bridge
Rh,Ti,0.75,0.25,hollow
Rh,Re,0.75,0.25,bridge
Rh,Cr,0.75,0.25,hollow
Rh,Re,0.75,0.25,bridge
Rh,Ta,0.75,0.25,hollow
Rh,Tc,0.75,0.25,hollow
Ru,La,0.75,0.25,bridge
Rh,Ta,0.75,0.25,hollow
Rh,Tc,0.75,0.25,hollow
Rh,Os,0.75,0.25,bridge
Rh,Os,0.75,0.25,bridge
Rh,Os,0.75,0.25,bridge
Rh,Ru,0.75,0.25,bridge
Rh,Ir,0.75,0.25,bridge
Rh,Ni,0.75,0.25,bridge
Rh,Ni,0.75,0.25,bridge
Rh,Ir,0.75,0.25,bridge
Rh,Ni,0.75,0.25,hollow
Rh,Ir,0.75,0.25,hollow
Ru,Sc,0.75,0.25,bridge
Ru,Sc,0.75,0.25,hollow
Ru,Sc,0.75,0.25,hollow
Co,Rh,0.5,0.5,bridge
Rh,Mn,0.75,0.25,bridge
Rh,Pt,0.75,0.25,bridge
Rh,Mn,0.75,0.25,hollow
Pt,Rh,0.5,0.5,bridge
Rh,Mn,0.75,0.25,hollow
Co,Rh,0.5,0.5,bridge
Pt,Rh,0.5,0.5,bridge
Pt,Rh,0.5,0.5,bridge
Rh,Fe,0.75,0.25,bridge
Pt,Rh,0.5,0.5,hollow
Rh,Fe,0.75,0.25,bridge
Ru,Ir,0.75,0.25,bridge
Ru,Zr,0.75,0.25,hollow
Rh,Fe,0.75,0.25,hollow
Pt,Rh,0.5,0.5,hollow
Mn,Rh,0.5,0.5,bridge
Rh,Pd,0.75,0.25,bridge
Pd,Rh,0.5,0.5,bridge
Pd,Rh,0.5,0.5,hollow
Pd,Rh,0.5,0.5,hollow
Rh,Pd,0.75,0.25,bridge
Ru,Zr,0.75,0.25,hollow
Au,Rh,0.5,0.5,hollow
Fe,Ru,0.5,0.5,hollow
Fe,Ru,0.5,0.5,top
Mn,Rh,0.5,0.5,hollow
Rh,Cd,0.75,0.25,top
Rh,Hg,0.75,0.25,hollow
Cu,Rh,0.5,0.5,bridge
Ru,Hf,0.75,0.25,hollow
Ni,Fe,0.75,0.25,bridge
Ni,Fe,0.75,0.25,hollow
Cd,Rh,0.5,0.5,~
Fe,Ni,0.5,0.5,bridge
Fe,Ni,0.5,0.5,hollow
Ni,Mn,0.75,0.25,hollow
Ni,Mn,0.75,0.25,hollow
Rh,Cu,0.75,0.25,bridge
Ni,Pt,0.75,0.25,hollow
Ni,Pd,0.75,0.25,bridge
Ni,Pd,0.75,0.25,hollow
Ni,Pd,0.75,0.25,hollow
Ru,Ti,0.75,0.25,hollow
Ru,Ti,0.75,0.25,hollow
Ni,Pd,0.5,0.5,hollow
Ni,Pd,0.5,0.5,hollow
Ni,Au,0.75,0.25,bridge
Ni,Pd,0.5,0.5,hollow
Ni,Au,0.75,0.25,hollow
Ni,Au,0.75,0.25,hollow
Au,Ni,0.5,0.5,bridge
Ag,Rh,0.5,0.5,bridge
Ni,Ag,0.75,0.25,bridge
Ni,Ag,0.75,0.25,hollow
Ag,Ni,0.5,0.5,bridge
Ag,Ni,0.5,0.5,hollow
Ni,Cu,0.75,0.25,bridge
Cu,Ni,0.5,0.5,bridge
Ag,Ni,0.5,0.5,bridge
Ni,Cu,0.75,0.25,hollow
Ni,Cu,0.75,0.25,hollow
Hg,Ni,0.5,0.5,bridge
Ag,Rh,0.5,0.5,bridge
Ni,Cd,0.75,0.25,hollow
Ag,Rh,0.5,0.5,bridge
Fe,Ru,0.5,0.5,bridge
Fe,Ru,0.5,0.5,bridge
Fe,Ru,0.5,0.5,bridge
Cd,Ni,0.5,0.5,bridge
Ru,Ta,0.75,0.25,hollow
Rh,Zn,0.75,0.25,bridge
Rh,Zn,0.75,0.25,hollow
Rh,Zn,0.75,0.25,hollow
Ru,Mn,0.75,0.25,bridge
Ru,Mn,0.75,0.25,bridge
Ru,Mn,0.75,0.25,hollow
Co,Ag,0.75,0.25,bridge
Ag,Co,0.5,0.5,bridge
Ni,Zn,0.75,0.25,hollow
Co,Hg,0.75,0.25,bridge
Co,Hg,0.75,0.25,top
Co,Hg,0.75,0.25,hollow
Co,Cd,0.75,0.25,hollow
Co,Hg,0.75,0.25,top
Co,Hg,0.5,0.5,bridge
Co,Cu,0.75,0.25,bridge
Co,Zn,0.75,0.25,top
Rh,Zn,0.5,0.5,~
Ag,Ru,0.5,0.5,bridge
Ag,Zr,0.5,0.5,hollow
Ag,Ru,0.5,0.5,hollow
Ir,Ag,0.75,0.25,hollow
Ir,Ag,0.75,0.25,hollow
Ag,Mo,0.5,0.5,hollow
Au,Cd,0.75,0.25,bridge
Au,Cd,0.75,0.25,bridge
Au,Cu,0.75,0.25,bridge
Au,Zn,0.75,0.25,bridge
Au,Zn,0.75,0.25,bridge
Au,Zn,0.75,0.25,bridge
Au,Zn,0.75,0.25,top
Au,Cu,0.5,0.5,bridge
Au,Cu,0.5,0.5,hollow
Au,Mn,0.5,0.5,bridge
Au,Nb,0.5,0.5,hollow
Au,Hg,0.75,0.25,hollow
Au,Hg,0.75,0.25,top
Au,Ti,0.5,0.5,hollow
Au,V,0.5,0.5,hollow
Au,Zn,0.5,0.5,bridge
Au,Zn,0.5,0.5,bridge
Co,Ni,0.5,0.5,hollow
Co,Re,0.5,0.5,hollow
Co,Zr,0.5,0.5,bridge
Cr,Mo,0.75,0.25,hollow
Cr,Rh,0.75,0.25,hollow
Cr,Rh,0.75,0.25,hollow
Cr,Fe,0.5,0.5,hollow
Cr,W,0.5,0.5,hollow
Cu,Hg,0.75,0.25,bridge
Cu,Hg,0.75,0.25,top
Cu,Hg,0.75,0.25,top
Cu,Pt,0.75,0.25,top
Cu,Hg,0.5,0.5,top
Cu,Pd,0.5,0.5,bridge
Cu,Pd,0.5,0.5,bridge
Cu,Hg,0.5,0.5,bridge
Cu,Hg,0.5,0.5,top
Cu,Pt,0.5,0.5,bridge
Fe,Ag,0.75,0.25,hollow
Fe,Ag,0.75,0.25,hollow
Fe,Cd,0.75,0.25,hollow
Fe,Cu,0.75,0.25,bridge
Fe,Cu,0.75,0.25,hollow
Fe,Cu,0.75,0.25,hollow
Fe,Zn,0.75,0.25,bridge
Fe,Zn,0.75,0.25,hollow
Ag,Fe,0.5,0.5,bridge
Ag,Fe,0.5,0.5,hollow
Fe,Zn,0.75,0.25,hollow
Fe,Nb,0.5,0.5,bridge
Fe,Nb,0.5,0.5,top
Fe,Ru,0.5,0.5,hollow
Fe,Ru,0.5,0.5,hollow
Ag,Mn,0.5,0.5,bridge
Ag,Mo,0.5,0.5,hollow
Co,Cr,0.5,0.5,bridge
Co,Cr,0.5,0.5,hollow
Co,Mo,0.5,0.5,bridge
Co,Pt,0.5,0.5,bridge
Cr,Tc,0.5,0.5,bridge
Cu,Co,0.75,0.25,hollow
Cu,Co,0.75,0.25,hollow
Cu,Mn,0.5,0.5,bridge
Cu,Pt,0.5,0.5,bridge
Fe,Ru,0.5,0.5,bridge
Fe,Sc,0.5,0.5,bridge
Fe,Sc,0.5,0.5,hollow
