Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,ads_energy
Cr,W,0.5,0.5,3,-0.7321943930573696
Ru,W,0.5,0.5,3,-0.6421415835602318
Au,Zn,0.5,0.5,3,0.594304514947936
Nb,Sc,0.5,0.5,3,-0.9421714448571663
Sc,Y,0.5,0.5,3,-0.9876037073581472
Cr,W,0.5,0.5,1,0.16762702274084518
Mn,Ru,0.5,0.5,2,0.048324288444774766
Cr,W,0.5,0.5,1,0.028176979843038907
Mn,Ru,0.5,0.5,2,-0.06453737516036995
Cr,Ti,0.75,0.25,3,-0.8945411827580472
Cr,Ta,0.75,0.25,3,-1.1572455969571536
Cr,Nb,0.75,0.25,3,-1.0583096311592897
Cr,Mn,0.5,0.5,2,-2.155592902955476
Cr,Mn,0.5,0.5,2,-2.2056757271556933
Cr,Pt,0.75,0.25,2,-0.28467243655811103
Cr,Pt,0.5,0.5,2,0.008668322440854581
Cr,Pd,0.75,0.25,3,-0.9061707839600501
Cr,Mn,0.5,0.5,2,-2.2343317633558115
Cr,Pd,0.75,0.25,2,-0.6318227546607602
Cr,Pd,0.75,0.25,1,0.1879014084416042
Cr,Au,0.75,0.25,3,-0.8698846757569925
Cr,Ag,0.75,0.25,2,-0.5820837464625299
Cr,Ag,0.75,0.25,3,-0.8484423773615788
Cr,Cu,0.75,0.25,3,-0.9631512857585847
Cr,Cu,0.5,0.5,2,-0.5508429007595339
Cr,Cu,0.75,0.25,3,-0.6892291145549905
Cr,Zn,0.75,0.25,2,-0.654135545161779
Mo,Sc,0.75,0.25,2,-1.0760185276548953
Mo,Sc,0.75,0.25,3,-0.6650192823571786
Mo,Ti,0.75,0.25,3,-1.1454253800575032
Mo,Ta,0.75,0.25,2,-0.7012647096589433
Mo,W,0.75,0.25,2,-0.6968790508571772
Mo,W,0.75,0.25,3,-1.1134760859594905
Mo,W,0.5,0.5,2,-0.5427388064553895
Mo,Re,0.75,0.25,3,-0.7546700437587504
Mo,Re,0.5,0.5,2,-0.4382487250577185
Mo,Tc,0.75,0.25,2,-0.6515402594586419
Mo,Tc,0.75,0.25,3,-0.7415568778587556
Mo,Re,0.75,0.25,3,-0.7775546815600762
Mo,Tc,0.75,0.25,3,-0.7369739366576766
Mo,Os,0.75,0.25,3,-0.7097044564570467
Mo,Re,0.75,0.25,3,-0.8338876883599085
Mo,Os,0.75,0.25,3,-0.6813816235580532
Ru,Pt,0.75,0.25,2,-0.05572796175962935
Mo,Os,0.5,0.5,2,-0.34842176995786645
Mo,Os,0.5,0.5,2,-0.40483328175739075
Mo,Ru,0.5,0.5,2,-0.4323426302607629
Mo,Ir,0.75,0.25,2,-0.3978123365586441
Mo,Ir,0.75,0.25,3,-0.752950012257287
Ir,Mo,0.5,0.5,2,-0.25839018545863723
Mo,Rh,0.75,0.25,3,-0.7862473580562153
Mo,Rh,0.5,0.5,3,-0.5794045135580461
Mo,Rh,0.5,0.5,2,-0.5232976332581245
Ir,Mo,0.5,0.5,2,-0.42885059345914556
Mo,Rh,0.75,0.25,3,-0.5906892104567021
Mo,Ni,0.75,0.25,3,-0.7711023181572898
Mo,Rh,0.75,0.25,1,0.13584616714163644
Mo,Ni,0.75,0.25,3,-0.6664582204602709
Mo,Ni,0.5,0.5,2,-0.5165787343566706
Mo,Fe,0.75,0.25,3,-0.7505790842578506
Mo,Fe,0.75,0.25,3,-0.7243360174570341
Mo,Mn,0.75,0.25,2,-0.7342947037604688
Mo,Mn,0.75,0.25,1,0.24502109643893277
Mo,Fe,0.75,0.25,1,0.1376331387409948
Mo,Mn,0.75,0.25,3,-0.8020004363597479
Mn,Mo,0.5,0.5,3,-0.6508342600563708
Mo,Pt,0.75,0.25,3,-0.8489746319564517
Mo,Pd,0.75,0.25,1,0.2942592791414711
Mo,Pt,0.75,0.25,2,-0.5651981302571301
Pt,Ru,0.5,0.5,2,-0.03185446225595001
Pt,Ru,0.5,0.5,2,-0.18997382745780556
Mo,Pd,0.5,0.5,2,-0.5912716701595571
Mo,Pd,0.5,0.5,2,-0.018185639960364597
Mo,Au,0.75,0.25,1,0.3461486670394436
Mo,Ag,0.75,0.25,1,0.6667633960433079
Mo,Cu,0.75,0.25,3,-0.8873892146575315
Mo,Cu,0.75,0.25,3,-0.6838989486559228
Cu,Mo,0.5,0.5,2,-0.5809159698537485
Mo,Zn,0.75,0.25,3,-0.9450295925625767
Mo,Zn,0.5,0.5,2,-0.6208324848548443
Mo,Zn,0.5,0.5,3,0.09029526294128232
Mo,Cd,0.75,0.25,2,0.06010913064258716
Hg,Mo,0.5,0.5,1,0.3753417199414173
W,Y,0.75,0.25,2,-0.7973097380590559
W,Y,0.75,0.25,3,-0.4929399331585671
W,Sc,0.75,0.25,3,-0.8420546410588656
W,Ti,0.75,0.25,3,-1.053664647958584
W,La,0.75,0.25,2,-0.29823404605755854
W,Nb,0.75,0.25,2,-0.8237411076579235
W,V,0.75,0.25,3,-1.30115925916013
W,Cr,0.75,0.25,3,-1.0952490847584784
W,Re,0.75,0.25,2,-0.8038736680564114
W,Ta,0.75,0.25,2,-0.8267302780577381
W,Nb,0.75,0.25,3,-1.261291996760491
W,Cr,0.75,0.25,3,-1.2157972840568334
W,Tc,0.75,0.25,3,-0.8963040722582889
Tc,W,0.5,0.5,2,-0.28528850225754354
W,Ta,0.75,0.25,3,-1.2757767524553572
W,Tc,0.75,0.25,3,-0.898258257758215
Tc,W,0.5,0.5,2,-0.5006181693561018
W,Tc,0.75,0.25,1,0.018884836442367714
Tc,W,0.5,0.5,2,-0.31579015065560156
W,Os,0.75,0.25,1,-0.14262003295786485
Os,W,0.5,0.5,3,-0.5421447819562388
Os,W,0.5,0.5,3,-0.6412320430563057
W,Tc,0.75,0.25,1,0.11872299574045542
Ru,Pd,0.75,0.25,2,-0.04187831975556833
W,Os,0.75,0.25,2,-0.533189923658
Os,W,0.5,0.5,3,-0.5097279963583503
Os,W,0.5,0.5,3,-0.6261177519581622
W,Os,0.75,0.25,3,-0.8617310566578169
Os,W,0.5,0.5,1,0.21418855764298428
W,Os,0.75,0.25,3,-0.8292376710587348
Cr,Nb,0.75,0.25,1,0.07405496484082619
Ru,W,0.5,0.5,2,-0.39389335305801865
Ru,W,0.5,0.5,2,-0.48627776995905947
W,Ir,0.75,0.25,3,-0.8566636166605974
W,Ir,0.75,0.25,2,-0.40011986185979254
Os,W,0.5,0.5,2,-0.41219436925800323
Ir,W,0.5,0.5,2,-0.21520014086033257
W,Rh,0.75,0.25,3,-0.8720130141582274
W,Rh,0.75,0.25,1,0.16051355873881334
Rh,W,0.5,0.5,2,-0.22940285055935306
Rh,W,0.5,0.5,2,-0.577620943359733
W,Ni,0.75,0.25,3,-0.8429711204580315
Os,W,0.5,0.5,2,-0.39205590435719273
W,Ni,0.75,0.25,3,-0.7006700048577557
W,Ru,0.75,0.25,2,-0.6189176198558641
W,Ru,0.75,0.25,2,-0.4903514502575206
Co,W,0.5,0.5,2,-0.5482835340580721
W,Mn,0.75,0.25,3,-0.856705930457764
W,Mn,0.75,0.25,3,-0.8390926819583626
W,Pt,0.75,0.25,3,-0.9265522465566107
W,Pt,0.75,0.25,1,0.04537294174318163
W,Fe,0.75,0.25,2,-0.8143114106596556
W,Fe,0.75,0.25,3,-0.8384083155569613
Pt,W,0.5,0.5,2,-0.5967384371606101
Pt,W,0.5,0.5,1,-0.09797853325923711
Pt,W,0.5,0.5,3,-0.13323020076038006
W,Pd,0.75,0.25,3,-0.9522086358583408
Pt,W,0.5,0.5,3,0.003141282141797319
Au,W,0.5,0.5,2,-0.6569671618590007
W,Cu,0.75,0.25,2,-0.7533486588572202
W,Cu,0.75,0.25,3,-0.938827165758056
Au,W,0.5,0.5,3,0.04046781764284901
W,Zn,0.75,0.25,3,-0.9919399774580313
W,Zn,0.5,0.5,3,-0.13319237695301922
W,Cd,0.75,0.25,1,1.34462182574228
Cd,W,0.5,0.5,1,-0.07008115045661611
W,Zn,0.75,0.25,1,1.068522063535994
W,Cd,0.75,0.25,3,-0.7394175188591987
Re,Sc,0.75,0.25,3,-0.7149197902571984
Re,Zr,0.75,0.25,3,-0.7998625740574141
Re,Hf,0.75,0.25,2,-0.7331293762572102
Re,Ta,0.75,0.25,2,-0.6178212731601604
Re,Ta,0.75,0.25,2,-0.556773349758231
Re,Nb,0.75,0.25,2,-0.5184465237570919
Re,V,0.75,0.25,2,-0.4877998387591731
Re,V,0.75,0.25,3,-0.7371728517564122
Re,Cr,0.75,0.25,2,-0.4543133737560936
Re,Mo,0.75,0.25,2,-0.4190003445573609
Re,W,0.75,0.25,2,-0.44694004115714847
Re,Tc,0.75,0.25,2,-0.3840207908569653
Re,Tc,0.5,0.5,2,-0.41108727405568857
Re,Os,0.75,0.25,2,-0.29039077285685266
Re,Os,0.75,0.25,3,-0.5205337730576218
Os,Re,0.5,0.5,2,-0.35075174485879757
Re,Os,0.75,0.25,3,-0.5212702491580501
Re,Ru,0.75,0.25,2,-0.4308730794573137
Re,Ru,0.75,0.25,2,-0.3966611589557658
Re,Ru,0.5,0.5,2,-0.4502720749578373
Re,Ru,0.5,0.5,2,-0.38852060125915955
Re,Ru,0.5,0.5,2,-0.32606516915890893
Re,Ir,0.75,0.25,2,-0.2343924659571428
Re,Ir,0.75,0.25,3,-0.6276868964586981
Ir,Re,0.5,0.5,2,-0.38683009405846747
Re,Rh,0.75,0.25,2,-0.2843112054569872
Re,Rh,0.5,0.5,2,-0.5072188347575945
Re,Rh,0.5,0.5,2,-0.06318646605629397
Re,Ni,0.75,0.25,3,-0.5049536230571618
Ni,Re,0.5,0.5,2,-0.5273061422549006
Ni,Re,0.5,0.5,3,-0.3424657423592805
Re,Co,0.75,0.25,2,-0.5574156744614527
Re,Ru,0.5,0.5,2,-0.2508778025575964
Re,Ir,0.75,0.25,1,-0.01350841125801594
Ir,Re,0.5,0.5,2,-0.035166087657643175
Re,Co,0.75,0.25,2,-0.396470951359305
Co,Re,0.5,0.5,2,-0.26893799806472884
Re,Fe,0.75,0.25,2,-0.5098801080521014
Mn,Re,0.5,0.5,2,-0.4733254233642299
Re,Ni,0.75,0.25,2,-0.4905503654581196
Re,Fe,0.75,0.25,2,-0.3929025865572555
Re,Ni,0.75,0.25,3,-0.5993545396549678
Re,Pt,0.75,0.25,3,-0.5996071972576544
Re,Pt,0.75,0.25,3,-0.3707557854567938
Ag,Re,0.5,0.5,2,0.6703886326368149
Re,Cu,0.75,0.25,2,-0.31132190536206394
Cu,Re,0.5,0.5,2,-0.6352791446615527
Re,Pt,0.75,0.25,3,-0.7218894419556534
Re,Pd,0.75,0.25,3,-0.4699740693567662
Re,Cu,0.75,0.25,2,-0.3428495589605234
Re,Zn,0.5,0.5,2,-0.6297775470584099
Re,Hg,0.75,0.25,2,0.035507726640418014
Re,Hg,0.75,0.25,3,-0.5835288068583111
Tc,Sc,0.75,0.25,2,-0.64705283015698
Tc,Ta,0.75,0.25,2,-0.4971821878598064
Tc,V,0.75,0.25,3,-0.6702192418551647
Tc,Mo,0.75,0.25,2,-0.4039306801559803
Os,Tc,0.5,0.5,3,-0.5086146426610583
Tc,W,0.75,0.25,2,-0.43521438365766585
Tc,V,0.75,0.25,2,-0.44242145475706707
Tc,W,0.75,0.25,3,-0.6502311197573079
Tc,V,0.75,0.25,3,-0.6672359217581914
Tc,W,0.75,0.25,3,-0.6388793467549192
Os,Tc,0.5,0.5,2,-0.30847586665819904
Tc,Os,0.75,0.25,2,-0.35858862335859953
Tc,Zr,0.75,0.25,2,-0.7508023537584165
Tc,Os,0.75,0.25,3,-0.5683892093574912
Tc,Y,0.75,0.25,2,-0.8840906507566331
Tc,Zr,0.75,0.25,3,-0.6242407107592669
Ag,Ru,0.5,0.5,2,-0.22055642965912625
Tc,Os,0.75,0.25,3,-0.5332175432585871
Ru,Au,0.75,0.25,2,0.12002710124309601
Tc,Ru,0.75,0.25,2,-0.34018189085961126
Tc,Re,0.75,0.25,2,-0.341547358158067
Tc,Ru,0.75,0.25,1,0.13353850574370085
Tc,Re,0.75,0.25,2,-0.401868601456016
Tc,Re,0.75,0.25,3,-0.5755810419568377
Tc,La,0.75,0.25,2,-0.26051416995957766
Tc,Hf,0.75,0.25,2,-0.7590604644601342
Tc,Cr,0.75,0.25,2,-0.43454947345796313
Tc,Hf,0.75,0.25,3,-0.685946605360158
Tc,Cr,0.75,0.25,2,-0.43596024765699326
Tc,Cr,0.75,0.25,3,-0.6237930834567749
Cu,Ru,0.5,0.5,2,-0.16128350485720944
Cu,Ru,0.5,0.5,2,-0.2778132629527761
Tc,Rh,0.75,0.25,3,-0.6701308047585997
Rh,Tc,0.5,0.5,2,-0.15112984905769622
Ru,Tc,0.5,0.5,2,-0.30530696495677034
Tc,Rh,0.75,0.25,2,-0.3067808695586507
Tc,Rh,0.75,0.25,1,0.17148478054244265
Pd,Tc,0.5,0.5,2,-0.4832841096567506
Os,Sc,0.75,0.25,2,-0.5398432430547189
Os,Sc,0.75,0.25,3,-0.5281039799583311
Tc,Cd,0.75,0.25,3,-0.2787724643557965
Ru,Zn,0.5,0.5,0,0.045975537840632796
Cd,Ru,0.5,0.5,2,-0.27795190505545975
Ru,Hg,0.75,0.25,2,-0.19799860055624663
Ru,Zn,0.5,0.5,2,-0.48487107745947355
Ag,Ru,0.5,0.5,2,-0.22204870195761828
Tc,Hg,0.75,0.25,3,-0.25743057585984275
Tc,Mn,0.75,0.25,2,-0.4736799877564124
Tc,Hg,0.75,0.25,3,-0.5585816822594722
Tc,Mn,0.75,0.25,3,-0.5818177550563348
Tc,Mn,0.75,0.25,3,-0.5476862441564379
Os,La,0.75,0.25,2,-0.21301805995878453
Tc,Ir,0.75,0.25,2,-0.29446717415973467
Os,La,0.75,0.25,2,-0.6633042849598212
Tc,Cu,0.75,0.25,3,-0.5756862139596421
Tc,Cu,0.75,0.25,3,-0.6146530516625432
Tc,Cu,0.75,0.25,3,-0.33533091746264176
Tc,Fe,0.75,0.25,3,-0.6634664647562829
Tc,Fe,0.75,0.25,3,-0.5618972533584099
Os,Hf,0.75,0.25,3,-0.634295861257641
Os,Hf,0.75,0.25,3,-0.6053675750581249
Ir,Tc,0.5,0.5,2,-0.1383493423590778
Os,Ta,0.75,0.25,3,-0.5704625806565389
Os,Cr,0.75,0.25,3,-0.44922239585773127
Os,Ta,0.75,0.25,3,-0.529327403756696
Tc,Fe,0.75,0.25,3,-0.5639975640578712
Os,Tc,0.75,0.25,2,-0.27495797245771314
Os,Ru,0.75,0.25,2,-0.25310940815958816
Ir,Tc,0.5,0.5,2,-0.32172318475838324
Os,Re,0.75,0.25,2,-0.2760164953569699
Os,Ru,0.75,0.25,2,-0.18452882945982196
Os,Re,0.75,0.25,3,-0.37543886465843457
Tc,Pt,0.75,0.25,3,-0.3919288272581696
Os,Re,0.75,0.25,3,-0.34280901395956676
Os,Tc,0.75,0.25,3,-0.4098113322570214
Os,Ru,0.75,0.25,3,-0.3224339460566341
Os,Tc,0.75,0.25,3,-0.37385693075609083
Ir,Rh,0.75,0.25,2,-0.17402727615896652
Ir,Rh,0.5,0.5,2,-0.22447745395672314
Ir,Rh,0.5,0.5,2,-0.18990783975729641
Ir,Rh,0.5,0.5,2,-0.06805635135512489
Ir,Rh,0.75,0.25,2,-0.1300270126584735
Os,Ti,0.75,0.25,3,-0.5682607715561687
Os,Ti,0.75,0.25,3,-0.5606379104565065
Fe,Tc,0.5,0.5,2,-0.3283551431586318
Pt,Tc,0.5,0.5,2,0.057151525242289836
Cu,Tc,0.5,0.5,2,-0.48191741785464615
Fe,Tc,0.5,0.5,3,-0.5427003023641817
Pt,Tc,0.5,0.5,2,-0.29785335875837404
Cu,Tc,0.5,0.5,3,-0.23569330615916328
Ru,Cu,0.75,0.25,2,-0.2967337463623778
Cu,Tc,0.5,0.5,3,-0.258550596458889
Cu,Tc,0.5,0.5,3,-0.4392122801573066
Cu,Tc,0.5,0.5,3,-0.4810648851552912
Os,Ir,0.75,0.25,2,-0.14778502575697416
Os,Ir,0.75,0.25,2,-0.054897470358781675
Ir,Ni,0.75,0.25,2,-0.2234000192611063
Ir,Ni,0.75,0.25,2,-0.16884078646305056
Os,Ru,0.5,0.5,2,-0.29427465355817617
Ir,Ni,0.75,0.25,2,-0.11879265685908535
Os,Co,0.75,0.25,2,-0.21959586776117135
Os,Ru,0.5,0.5,2,-0.26982862665951757
Os,Co,0.75,0.25,2,-0.13010783045953644
Ni,Os,0.5,0.5,2,-0.03483873476122312
Os,Co,0.75,0.25,3,-0.26171555245579725
Co,Os,0.5,0.5,2,-0.13573038275987415
Os,Ru,0.5,0.5,2,-0.15826521815958472
Co,Os,0.5,0.5,2,-0.2783349052615165
Ni,Os,0.5,0.5,2,-0.26602719636045435
Co,Os,0.5,0.5,2,-0.3434046711617782
Ir,Os,0.5,0.5,2,0.040626460043341694
Os,Rh,0.5,0.5,2,-0.3017641788564731
Ni,Os,0.5,0.5,2,-0.3464833671596068
Os,Rh,0.5,0.5,2,-0.22071167065857367
Os,Rh,0.5,0.5,2,-0.1093768377567983
Ir,Os,0.5,0.5,2,-0.05214272585632784
Os,Rh,0.5,0.5,2,0.05047670884326294
Ir,Os,0.5,0.5,2,-0.1874846661584968
Os,Ni,0.75,0.25,2,-0.17354481835988622
Os,Ni,0.75,0.25,2,-0.13868104915943036
Tc,Zn,0.75,0.25,2,-0.2517681590533982
Tc,Zn,0.75,0.25,3,-0.48126148745265596
Co,Ir,0.5,0.5,2,-0.20984766165835822
Tc,Zn,0.75,0.25,3,-0.596463874257978
Ir,Fe,0.75,0.25,2,-0.16813614766121532
Ir,Fe,0.75,0.25,3,-0.25679627856058573
Ir,Fe,0.75,0.25,3,-0.26235964595886685
Co,Ir,0.5,0.5,2,-0.0851404745617117
Fe,Ir,0.5,0.5,2,-0.12333464495802104
Fe,Ir,0.5,0.5,2,0.059911984136334695
Ir,Mn,0.75,0.25,1,-0.2674466781563467
Ir,Mn,0.75,0.25,1,0.45831671244107497
Fe,Os,0.5,0.5,2,-0.13945657355995422
Fe,Os,0.5,0.5,2,-0.2089341754608256
Os,Pt,0.75,0.25,2,0.08519285633613549
Fe,Os,0.5,0.5,2,-0.33586738986102205
Os,Fe,0.75,0.25,1,-0.12838752686272414
Os,Fe,0.75,0.25,1,0.25522903884214543
Ir,Pt,0.75,0.25,2,-0.17323147935800876
Ir,Pt,0.75,0.25,1,-0.3562847715574833
Ir,Pt,0.75,0.25,2,-0.10202486605973604
Ir,Pt,0.75,0.25,1,-0.275202602856524
Os,Ag,0.75,0.25,2,-0.12437534425313856
Ir,Pt,0.75,0.25,2,-0.1994069257588933
Os,Ag,0.75,0.25,1,0.8994250819460206
Os,Ag,0.75,0.25,1,-0.2771140664544589
Ag,Os,0.5,0.5,2,0.21894075374532918
Ir,Zr,0.75,0.25,3,-0.5908406417574668
Ir,Zr,0.75,0.25,3,-0.42784091495829557
Ir,Hf,0.75,0.25,3,-0.5797401659574177
Ir,Hf,0.75,0.25,3,-0.4144051581560859
Ag,Os,0.5,0.5,2,0.2262174859434083
Os,Fe,0.75,0.25,2,-0.2624973356568887
Os,Fe,0.75,0.25,3,-0.3028444708606628
Os,Mn,0.75,0.25,2,-0.20849770485708063
Ir,Ni,0.5,0.5,2,-0.27610329965588676
Ir,Ni,0.5,0.5,2,-0.237677288160711
Os,Rh,0.75,0.25,2,-0.19669313446044612
Os,Mn,0.75,0.25,3,-0.35958932195259763
Os,Rh,0.75,0.25,2,-0.1892466032577147
Os,Mn,0.75,0.25,3,-0.36029123965178655
Ir,Ni,0.5,0.5,2,-0.08206898945988428
Os,Rh,0.75,0.25,2,-0.05979892085721872
Ir,Pt,0.5,0.5,2,-0.2335876892566091
Ir,Pt,0.5,0.5,2,-0.19029777895681832
Ir,Pt,0.5,0.5,2,-0.15246810485675155
Ir,Pt,0.5,0.5,2,-0.09998401225581688
Os,Cu,0.75,0.25,2,-0.1889381621576547
Os,Cu,0.75,0.25,2,-0.1678305638624522
Os,Cu,0.75,0.25,1,-0.21923558905743334
Os,Cu,0.75,0.25,1,0.6999528488386488
Ir,Cr,0.75,0.25,3,-0.3149695913589028
Ir,Cr,0.75,0.25,3,-0.23968181475626693
Ru,Nb,0.75,0.25,3,-0.5150894553580372
Ru,Mo,0.75,0.25,3,-0.5634327917568669
Ru,Mo,0.75,0.25,3,-0.4912488816580378
Ru,Tc,0.75,0.25,3,-0.49692068645796894
Ir,Re,0.75,0.25,2,-0.15992225535498505
Ru,Tc,0.75,0.25,3,-0.45043996925866736
Os,Pt,0.5,0.5,2,-0.24906008205923058
Os,Pt,0.5,0.5,3,-0.028174802856455017
Ir,Pd,0.5,0.5,2,0.04104878074306839
Ir,Pd,0.5,0.5,2,-0.304953625159186
Ru,Cr,0.75,0.25,3,-0.4802731699591902
Os,Zn,0.5,0.5,2,-0.3316856804585484
Os,Zn,0.5,0.5,3,0.21961382734392032
Os,Cd,0.75,0.25,2,-0.1666831957581678
Os,Cd,0.75,0.25,2,-0.3914763018574092
Os,Cd,0.75,0.25,1,-0.4241052001588912
Ru,Re,0.75,0.25,2,-0.23504336225866496
Ru,Re,0.75,0.25,2,-0.3298011561591636
Ir,Os,0.75,0.25,2,0.00492444414069837
Ir,Os,0.75,0.25,2,-0.13660658925707025
Ir,Ag,0.75,0.25,2,-0.29998496245295314
Ir,Cu,0.75,0.25,2,-0.2681845147589854
Ir,Cu,0.75,0.25,2,-0.1764771170555548
Ir,Cu,0.75,0.25,1,-0.25977755775872424
Ir,Zn,0.5,0.5,0,0.31969756934361726
Ir,Hg,0.75,0.25,1,-0.272876437759777
Os,Pd,0.75,0.25,2,-0.11545722145726245
Os,Pd,0.75,0.25,2,-0.2044298751561371
Os,Pd,0.75,0.25,1,-0.1371102719558337
