Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,adsorption_energy
Ir,Ni,0.5,0.5,bridge,-0.2761032996558867
Rh,Ru,0.75,0.25,hollow,-0.2638181761567182
Pd,V,0.5,0.5,hollow,-0.2761939135588989
Nb,Pd,0.5,0.5,hollow,-0.2637535491585083
Ni,Ir,0.75,0.25,top,-0.2763099700596001
Ir,Nb,0.75,0.25,top,-0.276392964856285
Pd,W,0.5,0.5,hollow,-0.276576097457081
Co,Ir,0.5,0.5,hollow,-0.276614057357591
Re,Zn,0.75,0.25,hollow,-0.2769547438574307
Os,Ag,0.75,0.25,top,-0.2771140664544589
Pt,Ru,0.5,0.5,hollow,-0.2627947560604013
Cu,W,0.5,0.5,hollow,-0.2627135300562884
Rh,Mn,0.75,0.25,bridge,-0.2626316237574144
Os,Fe,0.75,0.25,bridge,-0.2624973356568887
Rh,Cu,0.75,0.25,hollow,-0.262412708157143
Ir,Fe,0.75,0.25,hollow,-0.2623596459588668
Pt,Pd,0.75,0.25,hollow,-0.2623423667600661
Pd,Zr,0.75,0.25,hollow,-0.2776876824600265
Fe,Zr,0.5,0.5,top,-0.262218827057012
Cu,Ru,0.5,0.5,bridge,-0.2778132629527761
Cd,Ru,0.5,0.5,bridge,-0.2779519050554597
Ir,Ni,0.75,0.25,top,-0.2619860336626232
Cu,Sc,0.75,0.25,hollow,-0.2619633121566664
Os,Ta,0.5,0.5,hollow,-0.278117758457455
Cu,Ru,0.5,0.5,hollow,-0.2617169130525951
Os,Co,0.75,0.25,hollow,-0.2617155524557972
Co,Os,0.5,0.5,bridge,-0.2783349052615165
Ag,Fe,0.5,0.5,bridge,-0.2783772189568196
Ru,La,0.75,0.25,bridge,-0.2613892880608262
Pt,Au,0.75,0.25,top,-0.278742395758826
Pd,Mn,0.75,0.25,hollow,-0.2612477888532964
Tc,Cd,0.75,0.25,hollow,-0.2787724643557965
Ni,Au,0.75,0.25,hollow,-0.278790287752571
Cu,V,0.5,0.5,hollow,-0.2789271610590447
Mn,Ni,0.75,0.25,bridge,-0.2610148594603458
Pd,Ru,0.5,0.5,hollow,-0.2790885245585457
Tc,La,0.75,0.25,bridge,-0.2605141699595776
Pd,Rh,0.5,0.5,hollow,-0.2798113949602054
Pt,Ag,0.75,0.25,top,-0.2798941174614526
Cu,Co,0.75,0.25,hollow,-0.2800658213591021
Ir,Cu,0.75,0.25,top,-0.2597775577587242
Cu,Ni,0.5,0.5,bridge,-0.2802733081543636
Co,Au,0.75,0.25,hollow,-0.2803775277634202
Rh,La,0.75,0.25,bridge,-0.2593208146563199
Ir,Tc,0.5,0.5,hollow,-0.2592346907576655
Ru,Mn,0.75,0.25,bridge,-0.2809350889574205
Pd,Cd,0.75,0.25,hollow,-0.2809613479575716
Re,Sc,0.75,0.25,hollow,-0.2589216237601874
Cu,Tc,0.5,0.5,hollow,-0.258550596458889
Ni,Rh,0.5,0.5,hollow,-0.2815863935602181
Ir,Mo,0.5,0.5,bridge,-0.2583901854586372
Pt,Sc,0.5,0.5,bridge,-0.2816219043588432
Fe,Ru,0.5,0.5,bridge,-0.2816640820592226
Cu,W,0.5,0.5,hollow,-0.2817242191585762
Tc,Zr,0.5,0.5,top,-0.2582207945588095
Pt,Zn,0.75,0.25,bridge,-0.2581308609578343
Pd,Pt,0.75,0.25,bridge,-0.258078751153306
Ag,V,0.75,0.25,hollow,-0.2819521144546968
Ir,Nb,0.75,0.25,hollow,-0.2577616024563838
Tc,Hg,0.75,0.25,hollow,-0.2574305758598427
Ni,Ir,0.75,0.25,hollow,-0.2826034189629069
Pd,Hg,0.75,0.25,hollow,-0.2826902233600492
Ni,Co,0.75,0.25,hollow,-0.2830672370537002
Os,Zn,0.75,0.25,hollow,-0.2830974416565084
Ir,La,0.75,0.25,bridge,-0.2568904299577923
Ru,Sc,0.5,0.5,bridge,-0.283163701357779
Ir,Ta,0.75,0.25,top,-0.2831654700557635
Ir,Fe,0.75,0.25,hollow,-0.2567962785605857
Cd,La,0.5,0.5,~,-0.2566415818573375
Ru,Cu,0.75,0.25,hollow,-0.2565512399587248
Pd,Pt,0.5,0.5,hollow,-0.2558350363605939
Rh,Os,0.75,0.25,hollow,-0.2841823594598907
Ru,Rh,0.75,0.25,hollow,-0.2842140607599219
Re,Rh,0.75,0.25,bridge,-0.2843112054569872
Ni,Pt,0.5,0.5,hollow,-0.2844645415525235
Rh,Zn,0.75,0.25,hollow,-0.2554468660591453
Pd,Ti,0.75,0.25,hollow,-0.284559373259043
Cr,Pt,0.75,0.25,bridge,-0.284672436558111
Cu,Os,0.5,0.5,hollow,-0.2553053668588916
Pt,Au,0.75,0.25,hollow,-0.2847493086582915
Ir,Mn,0.75,0.25,hollow,-0.2550743422570747
Ni,Ti,0.5,0.5,bridge,-0.2849444142620712
Ir,Ti,0.75,0.25,hollow,-0.2851743504570265
Pd,Rh,0.5,0.5,hollow,-0.254753656058682
Tc,W,0.5,0.5,bridge,-0.2852885022575435
Co,Ru,0.75,0.25,hollow,-0.2546365110528938
Rh,Pd,0.75,0.25,hollow,-0.2545759657577662
Co,Rh,0.75,0.25,hollow,-0.2855593915582801
Pt,Pd,0.75,0.25,hollow,-0.2856422502581779
Co,Rh,0.5,0.5,hollow,-0.2857037480561928
Ir,V,0.75,0.25,hollow,-0.2542635790586871
Cu,Zr,0.75,0.25,hollow,-0.2857530006576496
La,Ni,0.5,0.5,bridge,-0.2859751815621791
Cu,Rh,0.75,0.25,hollow,-0.2540024857580363
Co,Zn,0.5,0.5,bridge,-0.2861415791548722
Ru,Ir,0.75,0.25,hollow,-0.2862432136562063
Pd,Pt,0.5,0.5,hollow,-0.2863791344561548
Pt,Au,0.75,0.25,hollow,-0.2531710419598028
Os,Ru,0.75,0.25,bridge,-0.2531094081595881
Ir,Ru,0.75,0.25,top,-0.2530911765597636
Pd,Ni,0.75,0.25,hollow,-0.2528377025582529
Pd,Ru,0.75,0.25,hollow,-0.2874248680591051
Co,Rh,0.75,0.25,hollow,-0.2523737483561206
Rh,Mn,0.75,0.25,hollow,-0.2523506187598912
Pd,Tc,0.75,0.25,hollow,-0.2523191895588468
Ir,Ti,0.75,0.25,top,-0.2877539896571477
Fe,Ru,0.5,0.5,bridge,-0.2518582287584365
Tc,Zn,0.75,0.25,bridge,-0.2517681590533982
Rh,V,0.75,0.25,hollow,-0.2514553641585451
Ag,Mo,0.5,0.5,hollow,-0.2514484252596674
Pt,Pd,0.75,0.25,hollow,-0.2513248856621146
Nb,Pd,0.5,0.5,hollow,-0.2887058439582404
Pt,Ag,0.75,0.25,bridge,-0.2887069323614639
Ir,La,0.75,0.25,hollow,-0.2887511508588147
Re,Ru,0.5,0.5,bridge,-0.2508778025575964
Rh,Pd,0.75,0.25,hollow,-0.2507718142578312
Ag,Rh,0.5,0.5,bridge,-0.2892291188609022
Cd,Pt,0.5,0.5,bridge,-0.2506792955600474
Rh,Pt,0.75,0.25,hollow,-0.2505792937581361
Au,Ir,0.5,0.5,bridge,-0.2504065013590377
Co,Os,0.75,0.25,hollow,-0.28972871975472
Re,Ag,0.75,0.25,hollow,-0.2897540263574854
Rh,Pd,0.75,0.25,hollow,-0.2900436916597471
Pt,Pd,0.75,0.25,bridge,-0.2498022726567512
Co,Ru,0.5,0.5,bridge,-0.2902656004580137
Co,Ir,0.5,0.5,hollow,-0.2903481870589246
Re,Os,0.75,0.25,bridge,-0.2903907728568526
Pt,Ru,0.75,0.25,top,-0.249490838358696
Pd,Ta,0.75,0.25,hollow,-0.2494644433563451
Cr,Zr,0.5,0.5,top,-0.249322671958879
Os,Pt,0.5,0.5,bridge,-0.249312331658956
Ag,Ni,0.5,0.5,bridge,-0.2907500991632048
Ir,Cd,0.75,0.25,top,-0.2908054742574393
La,Mo,0.75,0.25,top,-0.2491683834586808
Rh,Re,0.75,0.25,bridge,-0.2909262928578471
Os,Pt,0.5,0.5,bridge,-0.2490600820592305
Cu,Nb,0.5,0.5,hollow,-0.2490150473595065
Os,Cd,0.75,0.25,hollow,-0.248940624157484
Pd,Ag,0.75,0.25,hollow,-0.2910649347604419
Ag,Hf,0.75,0.25,hollow,-0.2489047051558088
Os,Cu,0.75,0.25,hollow,-0.2488992628632047
Ag,Zr,0.75,0.25,hollow,-0.2488920518580641
Rh,Ru,0.5,0.5,hollow,-0.2487000755563428
Ag,Ni,0.5,0.5,bridge,-0.291363443763629
Cu,Nb,0.75,0.25,hollow,-0.2485415692635513
Pd,Hf,0.75,0.25,hollow,-0.248479119155462
Ir,Ru,0.5,0.5,hollow,-0.2916324282586799
Pd,Pt,0.5,0.5,bridge,-0.2916841298565202
Os,Pd,0.75,0.25,hollow,-0.2917113412576952
Pt,Rh,0.5,0.5,hollow,-0.2918899839596349
Pt,Ni,0.75,0.25,top,-0.2480652339572486
Ni,Rh,0.5,0.5,hollow,-0.2919482163551663
Ir,Ni,0.5,0.5,hollow,-0.2477332550615472
Au,Pt,0.5,0.5,bridge,-0.2475212783601534
Ni,Pd,0.75,0.25,hollow,-0.2474356985539714
Ru,Os,0.75,0.25,bridge,-0.2473694388563387
Co,Pd,0.5,0.5,hollow,-0.2472205925577952
Pt,Ti,0.75,0.25,bridge,-0.2928098648580715
Pt,Ni,0.75,0.25,hollow,-0.2471771904592685
Pd,Ru,0.75,0.25,hollow,-0.2929378944599818
Fe,Hg,0.5,0.5,bridge,-0.2929968070556867
Pd,Ta,0.5,0.5,hollow,-0.2467688836577224
Pt,W,0.75,0.25,top,-0.2932981730582185
Ir,Rh,0.5,0.5,hollow,-0.2461151300585413
Y,W,0.75,0.25,top,-0.246016216758079
Co,Sc,0.5,0.5,bridge,-0.2942419999589845
Os,Ru,0.5,0.5,bridge,-0.2942746535581761
Ir,Pd,0.75,0.25,bridge,-0.2455578410581154
Tc,Ir,0.75,0.25,bridge,-0.2944671741597346
Ni,Pd,0.5,0.5,hollow,-0.2947020083583709
Co,Rh,0.75,0.25,hollow,-0.245265590659045
Rh,Ru,0.5,0.5,hollow,-0.2947735743573219
Os,V,0.75,0.25,hollow,-0.295005551458388
Pd,Tc,0.5,0.5,hollow,-0.2951367102568554
Ag,Rh,0.5,0.5,bridge,-0.2951587514607752
Ni,Os,0.5,0.5,hollow,-0.295499574057402
Hg,Rh,0.5,0.5,bridge,-0.2955233840611697
Pt,Ir,0.75,0.25,top,-0.2955455613618767
Pd,Ti,0.75,0.25,bridge,-0.2444198608600061
La,Cr,0.75,0.25,top,-0.2443333286564382
Ir,W,0.75,0.25,hollow,-0.2957284218600478
Cd,V,0.75,0.25,hollow,-0.2440442077558771
Au,Pt,0.5,0.5,bridge,-0.2439508726592691
Os,Ir,0.75,0.25,hollow,-0.2439408044583331
Pt,Fe,0.75,0.25,bridge,-0.2436605272586973
Ru,Ir,0.75,0.25,hollow,-0.2435387562572657
La,Mo,0.5,0.5,bridge,-0.2435292322579414
Ag,Cr,0.75,0.25,hollow,-0.2434012027578944
Ru,Cu,0.75,0.25,bridge,-0.2967337463623778
Ir,Ni,0.5,0.5,hollow,-0.2969021848611817
Ag,Mo,0.5,0.5,hollow,-0.29693783176387
Ag,Re,0.5,0.5,hollow,-0.2969981049600108
Pd,Ru,0.75,0.25,bridge,-0.2430006512576881
Cu,Mo,0.5,0.5,hollow,-0.2970523916582976
Ag,Hf,0.75,0.25,hollow,-0.297241238759824
Rh,Tc,0.75,0.25,hollow,-0.2974683176607584
Au,Rh,0.5,0.5,bridge,-0.2423990074593973
Mn,V,0.5,0.5,top,-0.2977981196590633
Pt,Tc,0.5,0.5,bridge,-0.297853358758374
Cr,Pd,0.5,0.5,hollow,-0.297858664957829
Os,Zn,0.75,0.25,hollow,-0.2979015229566073
Ir,Mo,0.75,0.25,hollow,-0.2419312437550331
W,La,0.75,0.25,bridge,-0.2982340460575585
Rh,Ru,0.5,0.5,hollow,-0.2415583117571884
Pd,Pt,0.75,0.25,hollow,-0.2989348752589364
Os,Cu,0.75,0.25,hollow,-0.2409246947636063
Cr,Pd,0.5,0.5,hollow,-0.2407165275571685
Fe,Hf,0.5,0.5,top,-0.2992999158513783
Ni,Fe,0.75,0.25,hollow,-0.2995592403594571
Pd,Zr,0.75,0.25,hollow,-0.2403776098608148
Ir,Ag,0.75,0.25,bridge,-0.2999849624529531
Cu,Ti,0.5,0.5,hollow,-0.3000169359574727
Rh,Fe,0.75,0.25,bridge,-0.2397562378600639
Ir,Pt,0.75,0.25,hollow,-0.2397498432573854
Ir,Cr,0.75,0.25,hollow,-0.2396818147562669
Au,Rh,0.5,0.5,hollow,-0.2396478005566393
Co,Ni,0.5,0.5,hollow,-0.3003938135579744
Cd,Pt,0.5,0.5,top,-0.2393981360573605
Ni,Mo,0.75,0.25,hollow,-0.3008543661626106
Pd,Rh,0.75,0.25,hollow,-0.3009608988604384
Rh,Ir,0.75,0.25,hollow,-0.239029285755322
Pt,Y,0.75,0.25,bridge,-0.2389970402573169
Ru,Fe,0.75,0.25,bridge,-0.2388034312598108
Nb,Re,0.5,0.5,top,-0.2387887371578188
Ni,Co,0.75,0.25,hollow,-0.3012198151545533
Ir,Tc,0.5,0.5,hollow,-0.2385944478582757
Pt,Mn,0.75,0.25,bridge,-0.3015768285613092
Os,Rh,0.5,0.5,bridge,-0.3017641788564731
Pd,Tc,0.75,0.25,hollow,-0.3018165607563503
La,Zn,0.75,0.25,bridge,-0.3018266289572864
Ir,Mn,0.75,0.25,hollow,-0.3018482620563816
Ni,Pt,0.75,0.25,hollow,-0.2381368884589108
Ag,Fe,0.5,0.5,bridge,-0.3020259523536595
Ir,Ni,0.5,0.5,bridge,-0.237677288160711
Mo,Pd,0.5,0.5,hollow,-0.3023648701591526
Cu,Pt,0.5,0.5,bridge,-0.3024971174590689
Ni,Pd,0.5,0.5,hollow,-0.2374908901610695
Au,Ir,0.5,0.5,top,-0.2374859921573886
Cu,Fe,0.5,0.5,hollow,-0.3025195668514868
Pt,Ag,0.75,0.25,hollow,-0.3025258254556036
Ni,Y,0.75,0.25,top,-0.2374628624592958
Os,Fe,0.75,0.25,hollow,-0.3028444708606628
Ag,Co,0.5,0.5,bridge,-0.2369697921594422
Pt,Hg,0.75,0.25,hollow,-0.3030497807585277
La,Ni,0.5,0.5,bridge,-0.3031699189586732
Ir,Tc,0.75,0.25,hollow,-0.2367538698590294
Ni,Zr,0.5,0.5,bridge,-0.236567880055162
Co,Rh,0.5,0.5,bridge,-0.2364591705618011
Pd,Pt,0.75,0.25,top,-0.3042111625536279
Rh,Ru,0.75,0.25,hollow,-0.2357101772567773
Cu,Tc,0.5,0.5,hollow,-0.2356933061591632
Ir,Os,0.75,0.25,top,-0.3043910297592163
Cu,Zr,0.5,0.5,~,-0.304628721153648
La,Tc,0.75,0.25,top,-0.2353505788587142
Ru,Rh,0.75,0.25,bridge,-0.2352118006592434
Ir,Pd,0.5,0.5,bridge,-0.304953625159186
Ru,Re,0.75,0.25,bridge,-0.2350433622586649
Cu,La,0.75,0.25,bridge,-0.3049759384584547
La,Pd,0.5,0.5,hollow,-0.3051026074562912
Ru,Tc,0.5,0.5,bridge,-0.3053069649567703
Cu,Rh,0.5,0.5,bridge,-0.3055484659625733
Re,Ir,0.75,0.25,bridge,-0.2343924659571428
Co,Pt,0.75,0.25,hollow,-0.3056619374610534
Cu,Ni,0.5,0.5,hollow,-0.3059507862553516
Os,Sc,0.5,0.5,bridge,-0.2340358607570749
Ag,Cr,0.75,0.25,hollow,-0.3059894264578986
Pd,Re,0.5,0.5,hollow,-0.23396007705648
Ir,Pt,0.5,0.5,bridge,-0.2335876892566091
Ru,Pd,0.75,0.25,hollow,-0.233518980555317
Pd,Ta,0.5,0.5,hollow,-0.3066143359564819
Cu,Co,0.75,0.25,hollow,-0.2333660525609673
Pt,Cu,0.75,0.25,bridge,-0.2333588415558267
Pd,Pt,0.5,0.5,hollow,-0.306656241459649
Co,Hg,0.75,0.25,hollow,-0.3066649490565112
Tc,Rh,0.75,0.25,bridge,-0.3067808695586507
Co,Os,0.5,0.5,hollow,-0.3068508028581789
Rh,Au,0.75,0.25,hollow,-0.3069849549601429
Ag,Fe,0.5,0.5,hollow,-0.307076657357328
Co,Rh,0.5,0.5,hollow,-0.3071606044604493
Pd,Hf,0.75,0.25,bridge,-0.2327308028570485
Ni,Ir,0.75,0.25,bridge,-0.3074504056630474
Ir,Zn,0.75,0.25,hollow,-0.3074910866625657
La,Pd,0.5,0.5,hollow,-0.3075248287559304
Rh,Ir,0.75,0.25,bridge,-0.2321807246580363
Cu,Hf,0.75,0.25,hollow,-0.3078211607562195
Ir,Rh,0.5,0.5,hollow,-0.2317550025572643
Rh,Pt,0.75,0.25,hollow,-0.2317521453578308
Pd,Re,0.5,0.5,hollow,-0.3084338250582448
Os,Pt,0.5,0.5,top,-0.3084410360597474
Os,Tc,0.5,0.5,bridge,-0.308475866658199
Cr,Ir,0.5,0.5,bridge,-0.2314200304599296
Cr,Re,0.5,0.5,top,-0.2313333621595745
Cu,Re,0.5,0.5,hollow,-0.2312524083599498
Ru,Cu,0.75,0.25,hollow,-0.3087818586563742
Pd,Tc,0.5,0.5,hollow,-0.2310072337558892
Rh,Fe,0.75,0.25,bridge,-0.2309989342602136
Ir,Pt,0.5,0.5,hollow,-0.2309773011574805
Pd,Mn,0.75,0.25,bridge,-0.230971314754214
Pt,Rh,0.75,0.25,top,-0.3090545167642347
Cu,Fe,0.75,0.25,hollow,-0.2306666832582493
Pt,Pd,0.75,0.25,hollow,-0.2306340296626956
Pt,Cu,0.75,0.25,top,-0.2305952533560855
Ag,Nb,0.75,0.25,hollow,-0.3094338434593453
Pd,Pt,0.5,0.5,bridge,-0.2305311705558494
Pt,Zr,0.75,0.25,bridge,-0.3094801027609435
Cu,Pt,0.5,0.5,hollow,-0.3096190168571127
Rh,Cu,0.75,0.25,hollow,-0.2303091256607956
Cu,Pt,0.5,0.5,bridge,-0.3097967072598919
Au,Pt,0.75,0.25,top,-0.2301619120580369
Co,Ag,0.75,0.25,hollow,-0.3099104508573589
Co,Cu,0.75,0.25,hollow,-0.2300140181605172
Au,Mo,0.5,0.5,bridge,-0.3101178015594712
Ni,Os,0.5,0.5,hollow,-0.229834695258404
Co,Au,0.75,0.25,hollow,-0.3105032508601368
Rh,W,0.5,0.5,bridge,-0.229402850559353
Ir,Hg,0.75,0.25,hollow,-0.3109628511583366
W,Hf,0.75,0.25,top,-0.3109903345566351
La,Zn,0.5,0.5,bridge,-0.2290084215555623
Pt,Tc,0.5,0.5,hollow,-0.3110765947558036
Pd,Pt,0.75,0.25,hollow,-0.2288550853545246
Rh,Nb,0.75,0.25,hollow,-0.3112521081593229
Ni,Rh,0.75,0.25,hollow,-0.3113010885562914
Re,Cu,0.75,0.25,bridge,-0.3113219053620639
Ir,Os,0.75,0.25,top,-0.2285190247557409
Pt,Hg,0.75,0.25,hollow,-0.2284050091575125
Pt,Ir,0.75,0.25,bridge,-0.2282820136597081
Pt,Ir,0.75,0.25,hollow,-0.2282772516618649
Pt,Cd,0.75,0.25,bridge,-0.3118914395590479
Ir,Au,0.75,0.25,hollow,-0.312203826258127
Ag,Rh,0.75,0.25,hollow,-0.2276462196523141
Pt,Hf,0.75,0.25,bridge,-0.3124061429579967
Cu,Ta,0.5,0.5,hollow,-0.2275864906541471
Ag,Tc,0.75,0.25,top,-0.2274236304574231
Ru,Mn,0.75,0.25,bridge,-0.3127551288552865
Ag,Pt,0.75,0.25,top,-0.2271203596528437
Os,Ru,0.5,0.5,hollow,-0.3130834342582318
Ni,Pt,0.5,0.5,hollow,-0.226913417055556
Pt,Y,0.5,0.5,hollow,-0.3132686076559992
Rh,Os,0.75,0.25,hollow,-0.3133502418595242
Cu,Pd,0.5,0.5,hollow,-0.2265848396554872
Co,Pt,0.5,0.5,hollow,-0.2265422538611972
Pt,Au,0.75,0.25,bridge,-0.2265414374587351
Ir,Mn,0.75,0.25,hollow,-0.2265359952570804
Fe,Y,0.75,0.25,bridge,-0.3135951443609599
La,W,0.75,0.25,top,-0.3138239920581043
Pt,Au,0.75,0.25,bridge,-0.22604265285824
Pd,Cu,0.75,0.25,hollow,-0.2259924477611719
Cd,Zr,0.75,0.25,hollow,-0.3141031808581545
Pt,Sc,0.5,0.5,hollow,-0.3141585560578903
Pd,Cr,0.75,0.25,hollow,-0.225745368460565
La,Zn,0.5,0.5,~,-0.2256826461589014
Pt,Cd,0.75,0.25,hollow,-0.2255702631582323
Ni,Re,0.75,0.25,top,-0.3144916233568153
Nb,Os,0.5,0.5,hollow,-0.3145384269582507
Cd,V,0.75,0.25,bridge,-0.2253864503572629
Cd,Ni,0.5,0.5,bridge,-0.3147166614571404
Cd,V,0.75,0.25,hollow,-0.2251415478558271
Rh,W,0.75,0.25,hollow,-0.2250558319564959
Ir,Cr,0.75,0.25,hollow,-0.3149695913589028
Co,Rh,0.5,0.5,hollow,-0.3149742172599588
Ru,V,0.5,0.5,bridge,-0.3151369413598957
Os,Rh,0.5,0.5,hollow,-0.224818004458001
Co,Ni,0.5,0.5,hollow,-0.3152359908626465
Pd,Au,0.75,0.25,hollow,-0.3154678318560115
Ru,Fe,0.75,0.25,bridge,-0.2244962298636608
Ir,Rh,0.5,0.5,bridge,-0.2244774539567231
Pd,Re,0.75,0.25,hollow,-0.2244476575569649
Ag,Ir,0.5,0.5,bridge,-0.3156479711605868
Tc,W,0.5,0.5,bridge,-0.3157901506556015
Pt,Rh,0.5,0.5,hollow,-0.2240091460580231
Rh,Os,0.75,0.25,top,-0.3162123352585411
Ru,Rh,0.75,0.25,hollow,-0.3162213149580282
Cd,Zr,0.75,0.25,bridge,-0.316394379357888
Ir,Re,0.5,0.5,hollow,-0.223491721560066
Cu,Re,0.5,0.5,hollow,-0.3165956076618101
Ir,Ni,0.75,0.25,bridge,-0.2234000192611063
Ag,Ru,0.75,0.25,top,-0.2227548373548131
Ir,Rh,0.75,0.25,top,-0.3174543988561424
Rh,Mn,0.75,0.25,hollow,-0.3174666439581131
Ni,Ru,0.5,0.5,hollow,-0.3176296401570369
Co,Ru,0.5,0.5,bridge,-0.2222315624594273
Cd,Zr,0.75,0.25,hollow,-0.3179024342561831
Pt,Tc,0.5,0.5,hollow,-0.317942435055528
Zn,Mo,0.75,0.25,top,-0.2220575456585436
Ag,Ru,0.5,0.5,bridge,-0.2220487019576182
Zn,Ti,0.75,0.25,bridge,-0.3182771350538758
Ir,Au,0.75,0.25,hollow,-0.3184643493577539
Co,Hg,0.5,0.5,bridge,-0.2214588952546989
Pd,V,0.75,0.25,hollow,-0.2213671927592884
Co,Os,0.75,0.25,top,-0.2213046066599133
Rh,Mo,0.75,0.25,hollow,-0.2212960350579749
Os,Zr,0.5,0.5,bridge,-0.3188813637598002
Pt,Ru,0.5,0.5,hollow,-0.2210067780606266
Cu,Cr,0.75,0.25,hollow,-0.3191996008526701
Rh,Re,0.75,0.25,hollow,-0.3192464045596068
Os,Rh,0.5,0.5,bridge,-0.2207116706585736
Pt,Sc,0.75,0.25,bridge,-0.2205851376592988
La,V,0.75,0.25,top,-0.2205685387552591
Ag,Ru,0.5,0.5,bridge,-0.2205564296591262
Cd,Ti,0.75,0.25,hollow,-0.2204783329570716
Ag,Mo,0.75,0.25,top,-0.2203674465626761
Y,Zn,0.5,0.5,~,-0.2202584650576398
Os,Zn,0.75,0.25,top,-0.3197572982598728
Pt,Cd,0.75,0.25,top,-0.2201988720580345
Ag,Ti,0.75,0.25,hollow,-0.2201225441594658
Co,Ti,0.75,0.25,bridge,-0.319961383661365
Ag,V,0.75,0.25,hollow,-0.219877505557605
Cu,Ta,0.75,0.25,top,-0.3203163561620101
Os,Co,0.75,0.25,bridge,-0.2195958677611713
Cu,Y,0.5,0.5,bridge,-0.219243616454122
Os,Cu,0.75,0.25,top,-0.2192355890574333
Rh,Ru,0.75,0.25,bridge,-0.2189713665565875
La,Nb,0.75,0.25,top,-0.2188671468565814
Cu,Rh,0.5,0.5,hollow,-0.3213320210624886
Pt,Ru,0.75,0.25,hollow,-0.218641156453458
Ir,V,0.75,0.25,hollow,-0.3216366525584533
Ir,Ru,0.5,0.5,hollow,-0.2182970684579857
Ir,Tc,0.5,0.5,bridge,-0.3217231847583832
Cu,Rh,0.5,0.5,hollow,-0.3218690376588426
Pd,Hf,0.75,0.25,hollow,-0.3219042764567064
Ir,V,0.75,0.25,top,-0.2179086259593248
La,Re,0.75,0.25,top,-0.3220924431579703
Ir,W,0.75,0.25,hollow,-0.2177117516575606
Pt,Y,0.75,0.25,top,-0.3224323133572113
Os,Ru,0.75,0.25,hollow,-0.3224339460566341
Ir,Mn,0.75,0.25,hollow,-0.2175656264580254
Ir,Nb,0.75,0.25,hollow,-0.3225231994574358
Pt,Ir,0.75,0.25,hollow,-0.2171253462574611
Pt,Rh,0.75,0.25,hollow,-0.2170507870605149
Ir,Pt,0.5,0.5,hollow,-0.2168169051574011
