system_id,composition_fraction
random691019,"{'Ta': 0.5, 'N': 0.5}"
random397706,"{'As': 0.3333333333333333, 'Ir': 0.3333333333333333, 'Se': 0.3333333333333333}"
random2186737,"{'In': 0.4, 'Se': 0.6}"
random1695324,"{'Fe': 0.16666666666666666, 'Ni': 0.16666666666666666, 'Sb': 0.6666666666666666}"
random1813639,"{'Cu': 0.75, 'Sc': 0.25}"
random1687897,"{'Al': 0.6, 'Ru': 0.4}"
random2264221,"{'K': 0.3333333333333333, 'Na': 0.3333333333333333, 'Se': 0.3333333333333333}"
random900181,"{'Hf': 0.3333333333333333, 'Al': 0.6666666666666666}"
random762210,"{'Y': 0.3333333333333333, 'Os': 0.6666666666666666}"
random166794,"{'Pb': 0.5, 'Se': 0.5}"
random634625,"{'Al': 0.21052631578947367, 'Ni': 0.7894736842105263}"
random978266,"{'Zr': 0.625, 'Ga': 0.375}"
random1960643,"{'Nb': 0.375, 'S': 0.625}"
random1298058,"{'Si': 0.29411764705882354, 'Pt': 0.7058823529411765}"
random2152498,"{'P': 0.6666666666666666, 'Pt': 0.3333333333333333}"
random1446392,"{'In': 0.42857142857142855, 'As': 0.14285714285714285, 'Se': 0.42857142857142855}"
random1999321,"{'Bi': 0.4, 'Se': 0.6}"
random889000,"{'Sr': 0.2, 'In': 0.8}"
random2092659,"{'S': 0.6666666666666666, 'Sr': 0.3333333333333333}"
random1238267,"{'Pd': 0.5, 'Y': 0.5}"
random656154,"{'Ca': 0.3333333333333333, 'Si': 0.6666666666666666}"
random1216485,"{'S': 0.4, 'Ta': 0.6}"
random636246,"{'Ca': 0.5, 'Cd': 0.5}"
random2153631,"{'Y': 0.4444444444444444, 'S': 0.3333333333333333, 'N': 0.2222222222222222}"
random477857,"{'Sr': 0.16666666666666666, 'In': 0.8333333333333334}"
random792584,"{'Mo': 0.3333333333333333, 'S': 0.6666666666666666}"
random1993075,"{'Pd': 0.5, 'Ta': 0.5}"
random2248478,"{'Ti': 0.5, 'Rh': 0.5}"
random1410129,"{'Sn': 0.09090909090909091, 'P': 0.6363636363636364, 'Au': 0.2727272727272727}"
random1735609,"{'Cu': 0.46153846153846156, 'Bi': 0.07692307692307693, 'S': 0.46153846153846156}"
random1289355,"{'Mo': 0.5, 'Pt': 0.5}"
random1575477,"{'Hg': 0.14285714285714285, 'P': 0.14285714285714285, 'Pd': 0.7142857142857143}"
random592904,"{'Cu': 0.5, 'Au': 0.5}"
random1921388,"{'Ir': 0.3333333333333333, 'Sn': 0.3333333333333333, 'Zr': 0.3333333333333333}"
random2103207,"{'Mo': 0.25, 'V': 0.5, 'W': 0.25}"
random1381360,"{'Os': 0.4, 'Ta': 0.6}"
random771900,"{'Fe': 0.25, 'Sc': 0.375, 'Si': 0.375}"
random1600075,"{'Sc': 0.2, 'Co': 0.4, 'Si': 0.4}"
random1495958,"{'Te': 0.5, 'Rh': 0.5}"
random532019,"{'Ti': 0.25, 'Pd': 0.75}"
random699460,"{'Ni': 0.06666666666666667, 'Te': 0.5333333333333333, 'Mo': 0.4}"
random982228,"{'Bi': 0.5, 'Sb': 0.5}"
random1459432,"{'Te': 0.6, 'As': 0.4}"
random520628,"{'V': 0.4444444444444444, 'Zn': 0.5555555555555556}"
random2019673,"{'Se': 0.5, 'Sn': 0.5}"
random1387391,"{'Rh': 0.5, 'Sn': 0.25, 'Ti': 0.25}"
random675889,"{'Ag': 0.6666666666666666, 'Te': 0.3333333333333333}"
random1038882,"{'Te': 0.6666666666666666, 'Rh': 0.3333333333333333}"
random783670,"{'Cl': 0.75, 'Mo': 0.25}"
random1038936,"{'As': 0.5, 'Ga': 0.5}"
random1228985,"{'Ti': 0.75, 'Sb': 0.25}"
random595220,"{'Ti': 0.75, 'Si': 0.25}"
random651802,{'Te': 1.0}
random1884318,"{'W': 0.6666666666666666, 'C': 0.3333333333333333}"
random1961657,"{'Ti': 0.5, 'Sb': 0.25, 'P': 0.25}"
random1392611,"{'Pd': 0.3333333333333333, 'Tl': 0.6666666666666666}"
random225209,"{'Cd': 0.14285714285714285, 'As': 0.14285714285714285, 'Pd': 0.7142857142857143}"
random1688958,"{'Y': 0.3333333333333333, 'Zn': 0.3333333333333333, 'Si': 0.3333333333333333}"
random1703824,"{'Nb': 0.3333333333333333, 'Ge': 0.3333333333333333, 'As': 0.3333333333333333}"
random490542,"{'Fe': 0.3333333333333333, 'Mo': 0.3333333333333333, 'Zr': 0.3333333333333333}"
random2447908,"{'Pb': 0.5, 'S': 0.5}"
random215724,"{'Na': 0.5, 'Al': 0.16666666666666666, 'As': 0.3333333333333333}"
random2131459,"{'S': 0.6666666666666666, 'Ti': 0.3333333333333333}"
random610937,"{'K': 0.6666666666666666, 'Tc': 0.3333333333333333}"
random1462164,"{'Al': 0.2857142857142857, 'Zn': 0.14285714285714285, 'Se': 0.5714285714285714}"
random1185171,"{'K': 0.5, 'As': 0.5}"
random876429,"{'Al': 0.6666666666666666, 'Pt': 0.3333333333333333}"
random384415,"{'Ag': 0.5, 'Al': 0.25, 'Sc': 0.25}"
random1421650,"{'Hf': 0.3333333333333333, 'As': 0.6666666666666666}"
random968452,{'Sr': 1.0}
random1707870,"{'Fe': 0.5, 'Si': 0.16666666666666666, 'Zr': 0.3333333333333333}"
random893246,"{'Y': 0.75, 'Ru': 0.25}"
random817741,"{'K': 0.1724137931034483, 'Pb': 0.8275862068965517}"
random1972890,"{'Zr': 0.4, 'In': 0.2, 'Ni': 0.4}"
random1329838,"{'Bi': 0.4, 'Te': 0.2, 'Se': 0.4}"
random1005670,"{'Fe': 0.23529411764705882, 'Na': 0.058823529411764705, 'Sb': 0.7058823529411765}"
random1249816,"{'Sr': 0.625, 'As': 0.375}"
random1288563,"{'Hf': 0.25, 'S': 0.75}"
random543927,"{'As': 0.42857142857142855, 'Mn': 0.5714285714285714}"
random1134402,{'Cs': 1.0}
random2019132,"{'Ti': 0.5, 'Al': 0.5}"
random1556188,"{'Ti': 0.5, 'Zn': 0.5}"
random472273,{'Ca': 1.0}
random502479,"{'In': 0.75, 'Na': 0.25}"
random243391,"{'Pd': 0.3333333333333333, 'Tl': 0.6666666666666666}"
random1408921,"{'Al': 0.6666666666666666, 'Pd': 0.3333333333333333}"
random694212,"{'Ag': 0.375, 'As': 0.25, 'K': 0.375}"
random855076,"{'Pt': 0.5555555555555556, 'Se': 0.4444444444444444}"
random1599528,"{'Si': 0.5, 'C': 0.5}"
random249251,"{'P': 0.5, 'Y': 0.5}"
random326589,"{'Ca': 0.2, 'Ge': 0.4, 'Pt': 0.4}"
random1902356,"{'Hf': 0.3333333333333333, 'Al': 0.5, 'Co': 0.16666666666666666}"
random2352791,"{'V': 0.5, 'Os': 0.5}"
random2042976,"{'Na': 0.25, 'Al': 0.25, 'Te': 0.5}"
random1237304,"{'Ca': 0.6666666666666666, 'Pb': 0.3333333333333333}"
random655518,"{'Ag': 0.25, 'Sb': 0.25, 'S': 0.5}"
random1221699,"{'Na': 0.4, 'Pd': 0.2, 'S': 0.4}"
random1663057,"{'In': 0.5, 'S': 0.5}"
random1281366,"{'Ge': 0.5, 'Sc': 0.5}"
random416,"{'Al': 0.7142857142857143, 'Rh': 0.2857142857142857}"
random1410031,"{'Os': 0.3333333333333333, 'Se': 0.6666666666666666}"
random1847600,"{'Ag': 0.25, 'Zn': 0.75}"
random550046,{'Fe': 1.0}
random2137170,"{'Hf': 0.0625, 'Al': 0.1875, 'Ni': 0.75}"
random1092124,"{'Si': 0.3333333333333333, 'P': 0.6666666666666666}"
random678132,"{'S': 0.6666666666666666, 'Si': 0.3333333333333333}"
random1467378,{'Si': 1.0}
random1797449,"{'Y': 0.3333333333333333, 'Ru': 0.6666666666666666}"
random575137,"{'Pb': 0.5, 'S': 0.5}"
random1758401,"{'Y': 0.2, 'Ni': 0.4, 'P': 0.4}"
random1324437,"{'Sr': 0.6666666666666666, 'Pb': 0.3333333333333333}"
random918954,"{'Al': 0.7647058823529411, 'Ru': 0.23529411764705882}"
random591540,"{'Cr': 0.3333333333333333, 'Se': 0.6666666666666666}"
random2373456,"{'Hf': 0.75, 'Hg': 0.25}"
random1628522,"{'Y': 0.09523809523809523, 'Ni': 0.5714285714285714, 'P': 0.3333333333333333}"
random1949421,"{'Fe': 0.4375, 'Ni': 0.3125, 'P': 0.25}"
random1407772,"{'Ta': 0.25, 'W': 0.08333333333333333, 'S': 0.6666666666666666}"
random1770852,"{'V': 0.5, 'Ir': 0.5}"
random1457300,"{'Hf': 0.6666666666666666, 'Hg': 0.3333333333333333}"
random2415120,"{'Y': 0.3333333333333333, 'In': 0.3333333333333333, 'Pd': 0.3333333333333333}"
random1918545,"{'Na': 0.06666666666666667, 'Nb': 0.4, 'S': 0.5333333333333333}"
random1953997,"{'Zr': 0.2, 'Au': 0.8}"
