system_id,composition
random2001423,"{'Ti': 36, 'Hg': 36, 'H': 1}"
random1067776,"{'Hf': 24, 'Al': 24, 'H': 1}"
random1223745,"{'Cl': 24, 'Zr': 8, 'H': 1}"
random2333552,"{'Si': 24, 'As': 48, 'H': 1}"
random17743,"{'Zn': 24, 'Ag': 24, 'H': 1}"
random865443,"{'Sb': 12, 'Mo': 24, 'S': 24, 'H': 1}"
random717954,"{'Al': 72, 'Co': 24, 'H': 1}"
random219938,"{'Ti': 24, 'Fe': 24, 'H': 1}"
random2307130,"{'Ca': 8, 'Pt': 40, 'H': 1}"
random1587353,"{'Cu': 24, 'Pd': 72, 'H': 1}"
random1573454,"{'Te': 18, 'Zr': 6, 'H': 1}"
random1162257,"{'Fe': 72, 'H': 1}"
random315945,"{'Ag': 12, 'Pt': 12, 'Sc': 24, 'H': 1}"
random1865141,"{'Sr': 12, 'In': 24, 'H': 1}"
random156304,"{'Sc': 36, 'Sb': 12, 'H': 1}"
random1547787,"{'Ti': 24, 'Hg': 8, 'H': 1}"
random1595491,"{'Ga': 48, 'Ta': 80, 'H': 1}"
random2252681,"{'Ge': 32, 'H': 1}"
random1762811,"{'K': 24, 'Hg': 88, 'H': 1}"
random378033,"{'Al': 48, 'Pt': 32, 'H': 1}"
random2253261,"{'Pb': 16, 'Cl': 32, 'H': 1}"
random960729,"{'Y': 36, 'Rh': 108, 'H': 1}"
random1091438,"{'Al': 16, 'Mo': 48, 'H': 1}"
random579595,"{'Y': 18, 'Zn': 153, 'H': 1}"
random1662566,"{'Ti': 40, 'Pt': 40, 'H': 1}"
random1792820,"{'Sn': 42, 'Pd': 30, 'H': 1}"
random591699,"{'Hf': 40, 'Bi': 20, 'H': 1}"
random913197,"{'Cl': 16, 'Rb': 16, 'H': 1}"
random872226,"{'P': 16, 'Y': 16, 'H': 1}"
random2038053,"{'Cs': 16, 'P': 16, 'S': 48, 'H': 1}"
random469484,"{'Ca': 32, 'Cd': 64, 'H': 1}"
random915787,"{'Te': 24, 'H': 1}"
random1838094,"{'V': 108, 'C': 90, 'H': 1}"
random1965338,"{'Te': 36, 'H': 1}"
random2161708,"{'Sc': 30, 'Ge': 18, 'H': 1}"
random2374407,"{'Zr': 30, 'H': 1}"
random78060,"{'Si': 72, 'Ti': 36, 'H': 1}"
random185577,"{'Al': 48, 'Tc': 16, 'H': 1}"
random2398153,"{'Ga': 27, 'Ru': 27, 'H': 1}"
random178716,"{'Mo': 12, 'Nb': 12, 'W': 12, 'H': 1}"
random1173711,"{'Pd': 20, 'Ru': 20, 'Sc': 40, 'H': 1}"
random1046219,"{'Cs': 8, 'Te': 8, 'Au': 8, 'H': 1}"
random720293,"{'Co': 96, 'H': 1}"
random1400705,"{'Ta': 24, 'Ge': 48, 'H': 1}"
random2138929,"{'Zr': 18, 'Hg': 18, 'H': 1}"
random834250,"{'Os': 16, 'Ru': 48, 'H': 1}"
random1015680,"{'Pd': 54, 'W': 18, 'H': 1}"
random2170350,"{'Tc': 120, 'P': 40, 'H': 1}"
random2275030,"{'Rb': 12, 'H': 1}"
random2018422,"{'In': 32, 'Na': 64, 'H': 1}"
random479042,"{'Sc': 24, 'Os': 48, 'H': 1}"
random2374952,"{'S': 28, 'N': 4, 'H': 1}"
random914571,"{'Mn': 72, 'As': 36, 'H': 1}"
random2285985,"{'Ti': 64, 'P': 48, 'H': 1}"
random1968486,"{'Ni': 18, 'S': 12, 'Tl': 12, 'H': 1}"
random827218,"{'K': 24, 'Co': 24, 'N': 24, 'H': 1}"
random450396,"{'Nb': 84, 'P': 48, 'H': 1}"
random818748,"{'Co': 16, 'Na': 32, 'Se': 32, 'H': 1}"
random324158,"{'Cu': 54, 'Au': 18, 'H': 1}"
random670023,"{'Na': 10, 'Hg': 20, 'H': 1}"
random1518012,"{'Co': 20, 'Cu': 10, 'Ge': 20, 'H': 1}"
random1352617,"{'Pb': 8, 'Cl': 16, 'H': 1}"
random1611228,"{'Rb': 8, 'H': 1}"
random1800939,"{'K': 40, 'H': 1}"
random1111042,"{'Si': 5, 'Sn': 5, 'Pd': 25, 'H': 1}"
random2057563,"{'K': 8, 'Se': 24, 'H': 1}"
random562795,"{'Mn': 18, 'Zn': 54, 'H': 1}"
random1020982,"{'Pb': 8, 'S': 8, 'H': 1}"
random2487729,"{'Au': 20, 'Pd': 20, 'Sc': 40, 'H': 1}"
random1425782,"{'Te': 24, 'H': 1}"
random1748025,"{'Sc': 16, 'Tc': 48, 'H': 1}"
random1854635,"{'Co': 56, 'Ge': 48, 'Hf': 32, 'H': 1}"
random674439,"{'Re': 36, 'H': 1}"
random2269460,"{'K': 12, 'Hg': 36, 'H': 1}"
random1291373,"{'V': 18, 'W': 18, 'H': 1}"
random484418,"{'Al': 24, 'Cr': 48, 'H': 1}"
random1777584,"{'As': 16, 'Ti': 48, 'H': 1}"
random781082,"{'Hf': 32, 'Rh': 16, 'Ru': 16, 'H': 1}"
random1437856,"{'Zr': 18, 'Co': 108, 'P': 63, 'H': 1}"
random1417157,"{'Te': 36, 'W': 18, 'H': 1}"
random1092307,"{'S': 18, 'Zn': 18, 'H': 1}"
random1588064,"{'Ag': 10, 'Te': 30, 'H': 1}"
random228291,"{'Sr': 8, 'Ag': 8, 'As': 8, 'H': 1}"
random439080,"{'Mo': 27, 'W': 9, 'Se': 72, 'H': 1}"
random1320648,"{'Co': 24, 'Sn': 36, 'Te': 36, 'H': 1}"
random1835576,"{'Ni': 16, 'Pd': 16, 'Sc': 32, 'H': 1}"
random491819,"{'Na': 24, 'H': 1}"
random722096,"{'H': 65, 'Ni': 64}"
random1264355,"{'Ag': 54, 'H': 1}"
random1438166,"{'Ca': 72, 'Ge': 72, 'Au': 72, 'H': 1}"
random1732675,"{'P': 48, 'Sr': 16, 'H': 1}"
random2367562,"{'Si': 24, 'P': 24, 'Ir': 8, 'H': 1}"
random76151,"{'In': 72, 'Ir': 24, 'H': 1}"
random594756,"{'K': 32, 'Ge': 16, 'Te': 64, 'H': 1}"
random805546,"{'Zr': 48, 'H': 49, 'Pd': 24}"
random67785,"{'Nb': 54, 'H': 1}"
random132373,"{'Hg': 6, 'In': 12, 'Te': 24, 'H': 1}"
random1194100,"{'Al': 12, 'Fe': 24, 'Ta': 12, 'H': 1}"
random144933,"{'Sb': 32, 'H': 1}"
random284705,"{'Ta': 20, 'P': 20, 'Ru': 20, 'H': 1}"
random1231463,"{'Sr': 18, 'Mn': 36, 'As': 36, 'H': 1}"
random250937,"{'Cu': 12, 'Ga': 12, 'Pt': 24, 'H': 1}"
random768456,"{'Sr': 8, 'Si': 24, 'Ni': 8, 'H': 1}"
random1768535,"{'Al': 12, 'Fe': 36, 'Zr': 24, 'H': 1}"
random1431121,"{'K': 24, 'H': 1}"
random1803676,"{'K': 16, 'Te': 16, 'Au': 16, 'H': 1}"
random2390729,"{'Hf': 40, 'Ga': 24, 'H': 1}"
random1614852,"{'Hf': 6, 'Mo': 6, 'Sb': 24, 'H': 1}"
random1475174,"{'Hf': 72, 'Si': 48, 'H': 1}"
random2160320,"{'V': 36, 'Ga': 90, 'H': 1}"
random1298174,"{'Cr': 16, 'Te': 64, 'Rh': 32, 'H': 1}"
random836068,"{'Rb': 12, 'H': 1}"
random1105332,"{'Te': 24, 'Zr': 30, 'H': 1}"
random465253,"{'Cd': 24, 'Au': 24, 'H': 1}"
random890873,"{'Cu': 16, 'Au': 48, 'H': 1}"
random657497,"{'Sn': 16, 'Se': 16, 'H': 1}"
random1572807,"{'Mo': 12, 'As': 24, 'H': 1}"
random706509,"{'Al': 16, 'Na': 16, 'Se': 32, 'H': 1}"
random1138188,"{'Ga': 12, 'Hg': 30, 'Se': 48, 'H': 1}"
random655314,"{'Zr': 16, 'In': 16, 'H': 1}"
random793755,"{'Zr': 50, 'Te': 10, 'Pb': 30, 'H': 1}"
random1847643,"{'Hf': 24, 'Bi': 12, 'H': 1}"
random2419632,"{'In': 36, 'Na': 12, 'H': 1}"
random877477,"{'Sc': 20, 'Sn': 12, 'H': 1}"
random682247,"{'Na': 8, 'Ga': 32, 'H': 1}"
random2285818,"{'Y': 50, 'Pb': 30, 'H': 1}"
random1407977,"{'Y': 6, 'Zn': 72, 'H': 1}"
random1012095,"{'Cs': 32, 'P': 48, 'H': 1}"
random487006,"{'Sn': 40, 'H': 1}"
random1336357,"{'K': 32, 'As': 32, 'H': 1}"
random2378038,"{'Sn': 24, 'Sr': 8, 'H': 1}"
random612253,"{'Mn': 60, 'Ge': 36, 'H': 1}"
random483671,"{'Al': 48, 'Co': 16, 'H': 1}"
random1314927,"{'Sc': 24, 'Tc': 48, 'H': 1}"
random1567758,"{'Rb': 16, 'Ca': 16, 'As': 16, 'H': 1}"
random1953840,"{'Ca': 16, 'Pb': 16, 'Sr': 16, 'H': 1}"
random118286,"{'Pb': 20, 'S': 20, 'H': 1}"
random740673,"{'Mn': 24, 'Rh': 24, 'Ti': 48, 'H': 1}"
random1063138,"{'Ti': 36, 'Si': 72, 'H': 1}"
random2255173,"{'Rh': 72, 'H': 1}"
random1919012,"{'Si': 16, 'Sn': 16, 'Pd': 80, 'H': 1}"
random1421260,"{'Hf': 40, 'Pd': 20, 'Tc': 20, 'H': 1}"
random1638035,"{'Hf': 8, 'P': 16, 'S': 48, 'H': 1}"
random2163710,"{'Cu': 44, 'Sb': 12, 'H': 1}"
random476986,"{'N': 36, 'Sr': 18, 'Zr': 18, 'H': 1}"
random1146385,"{'Ca': 36, 'P': 12, 'N': 12, 'H': 1}"
random903547,"{'V': 36, 'N': 36, 'H': 1}"
random902036,"{'Ti': 40, 'Ru': 40, 'H': 1}"
random2464124,"{'Mo': 18, 'S': 36, 'H': 1}"
random1915749,"{'Hf': 36, 'Co': 36, 'Sn': 36, 'H': 1}"
random1642412,"{'Mo': 48, 'Pt': 48, 'H': 1}"
random1490666,"{'Sr': 8, 'Tl': 24, 'H': 1}"
random1428098,"{'Mn': 12, 'Cu': 12, 'Se': 48, 'H': 1}"
random1002889,"{'Tc': 54, 'Os': 18, 'H': 1}"
random1930528,"{'Ti': 24, 'Al': 48, 'H': 1}"
random1784859,"{'Ta': 90, 'H': 1}"
random1757259,"{'Re': 48, 'P': 24, 'H': 1}"
random748547,"{'Sr': 40, 'Pb': 32, 'H': 1}"
random621779,"{'Na': 12, 'Cr': 24, 'S': 48, 'H': 1}"
random2267450,"{'Ca': 8, 'Bi': 24, 'H': 1}"
random1405754,"{'Bi': 12, 'K': 12, 'Pb': 12, 'H': 1}"
random632992,"{'V': 16, 'W': 48, 'H': 1}"
random527735,"{'K': 16, 'H': 1}"
random510377,"{'Ga': 12, 'V': 36, 'H': 1}"
random1932790,"{'Sc': 8, 'In': 24, 'H': 1}"
random1561969,"{'Mn': 27, 'Cr': 27, 'N': 54, 'H': 1}"
random534486,"{'Ag': 40, 'Au': 20, 'Cd': 20, 'H': 1}"
random1882801,"{'Te': 20, 'Zr': 4, 'H': 1}"
random1589850,"{'Al': 18, 'Cr': 18, 'Fe': 36, 'H': 1}"
random658262,"{'Ti': 36, 'H': 37, 'Pd': 18}"
random1611478,"{'Ta': 80, 'N': 96, 'H': 1}"
random744025,"{'Hf': 36, 'Si': 72, 'H': 1}"
random2143849,"{'K': 24, 'S': 36, 'H': 1}"
random691019,"{'Ta': 40, 'N': 40, 'H': 1}"
random397706,"{'As': 16, 'Ir': 16, 'Se': 16, 'H': 1}"
random2186737,"{'In': 12, 'Se': 18, 'H': 1}"
random1695324,"{'Fe': 12, 'Ni': 12, 'Sb': 48, 'H': 1}"
random1813639,"{'Cu': 48, 'Sc': 16, 'H': 1}"
random1687897,"{'Al': 54, 'Ru': 36, 'H': 1}"
random2264221,"{'K': 24, 'Na': 24, 'Se': 24, 'H': 1}"
random900181,"{'Hf': 24, 'Al': 48, 'H': 1}"
random762210,"{'Y': 16, 'Os': 32, 'H': 1}"
random166794,"{'Pb': 16, 'Se': 16, 'H': 1}"
random634625,"{'Al': 24, 'Ni': 90, 'H': 1}"
random978266,"{'Zr': 20, 'Ga': 12, 'H': 1}"
random1960643,"{'Nb': 24, 'S': 40, 'H': 1}"
random1298058,"{'Si': 20, 'Pt': 48, 'H': 1}"
random2152498,"{'P': 32, 'Pt': 16, 'H': 1}"
random1446392,"{'In': 48, 'As': 16, 'Se': 48, 'H': 1}"
random1999321,"{'Bi': 24, 'Se': 36, 'H': 1}"
random889000,"{'Sr': 16, 'In': 64, 'H': 1}"
random2092659,"{'S': 32, 'Sr': 16, 'H': 1}"
random1238267,"{'Pd': 24, 'Y': 24, 'H': 1}"
random656154,"{'Ca': 20, 'Si': 40, 'H': 1}"
random1216485,"{'S': 48, 'Ta': 72, 'H': 1}"
random636246,"{'Ca': 20, 'Cd': 20, 'H': 1}"
random2153631,"{'Y': 24, 'S': 18, 'N': 12, 'H': 1}"
random477857,"{'Sr': 8, 'In': 40, 'H': 1}"
random792584,"{'Mo': 27, 'S': 54, 'H': 1}"
random1993075,"{'Pd': 48, 'Ta': 48, 'H': 1}"
random2248478,"{'Ti': 24, 'Rh': 24, 'H': 1}"
random1410129,"{'Sn': 12, 'P': 84, 'Au': 36, 'H': 1}"
random1735609,"{'Cu': 48, 'Bi': 8, 'S': 48, 'H': 1}"
random1289355,"{'Mo': 32, 'Pt': 32, 'H': 1}"
random1575477,"{'Hg': 8, 'P': 8, 'Pd': 40, 'H': 1}"
random592904,"{'Cu': 36, 'Au': 36, 'H': 1}"
random1921388,"{'Ir': 36, 'Sn': 36, 'Zr': 36, 'H': 1}"
random2103207,"{'Mo': 16, 'V': 32, 'W': 16, 'H': 1}"
random1381360,"{'Os': 48, 'Ta': 72, 'H': 1}"
random771900,"{'Fe': 32, 'Sc': 48, 'Si': 48, 'H': 1}"
random1600075,"{'Sc': 18, 'Co': 36, 'Si': 36, 'H': 1}"
random1495958,"{'Te': 32, 'Rh': 32, 'H': 1}"
random532019,"{'Ti': 16, 'Pd': 48, 'H': 1}"
random699460,"{'Ni': 5, 'Te': 40, 'Mo': 30, 'H': 1}"
random982228,"{'Bi': 18, 'Sb': 18, 'H': 1}"
random1459432,"{'Te': 72, 'As': 48, 'H': 1}"
random520628,"{'V': 48, 'Zn': 60, 'H': 1}"
random2019673,"{'Se': 12, 'Sn': 12, 'H': 1}"
random1387391,"{'Rh': 48, 'Sn': 24, 'Ti': 24, 'H': 1}"
random675889,"{'Ag': 32, 'Te': 16, 'H': 1}"
random1038882,"{'Te': 32, 'Rh': 16, 'H': 1}"
random783670,"{'Cl': 96, 'Mo': 32, 'H': 1}"
random1038936,"{'As': 24, 'Ga': 24, 'H': 1}"
random1228985,"{'Ti': 48, 'Sb': 16, 'H': 1}"
random595220,"{'Ti': 48, 'Si': 16, 'H': 1}"
random651802,"{'Te': 24, 'H': 1}"
random1884318,"{'W': 64, 'C': 32, 'H': 1}"
random1961657,"{'Ti': 24, 'Sb': 12, 'P': 12, 'H': 1}"
random1392611,"{'Pd': 16, 'Tl': 32, 'H': 1}"
random225209,"{'Cd': 4, 'As': 4, 'Pd': 20, 'H': 1}"
random1688958,"{'Y': 12, 'Zn': 12, 'Si': 12, 'H': 1}"
random1703824,"{'Nb': 12, 'Ge': 12, 'As': 12, 'H': 1}"
random490542,"{'Fe': 24, 'Mo': 24, 'Zr': 24, 'H': 1}"
random2447908,"{'Pb': 12, 'S': 12, 'H': 1}"
random215724,"{'Na': 24, 'Al': 8, 'As': 16, 'H': 1}"
random2131459,"{'S': 54, 'Ti': 27, 'H': 1}"
random610937,"{'K': 24, 'Tc': 12, 'H': 109}"
random1462164,"{'Al': 12, 'Zn': 6, 'Se': 24, 'H': 1}"
random1185171,"{'K': 24, 'As': 24, 'H': 1}"
random876429,"{'Al': 48, 'Pt': 24, 'H': 1}"
random384415,"{'Ag': 32, 'Al': 16, 'Sc': 16, 'H': 1}"
random1421650,"{'Hf': 24, 'As': 48, 'H': 1}"
random968452,"{'Sr': 72, 'H': 1}"
random1707870,"{'Fe': 36, 'Si': 12, 'Zr': 24, 'H': 1}"
random893246,"{'Y': 60, 'Ru': 20, 'H': 1}"
random817741,"{'K': 20, 'Pb': 96, 'H': 1}"
random1972890,"{'Zr': 48, 'In': 24, 'Ni': 48, 'H': 1}"
random1329838,"{'Bi': 48, 'Te': 24, 'Se': 48, 'H': 1}"
random1005670,"{'Fe': 8, 'Na': 2, 'Sb': 24, 'H': 1}"
random1249816,"{'Sr': 40, 'As': 24, 'H': 1}"
random1288563,"{'Hf': 12, 'S': 36, 'H': 1}"
random543927,"{'As': 54, 'Mn': 72, 'H': 1}"
random1134402,"{'Cs': 8, 'H': 1}"
random2019132,"{'Ti': 24, 'Al': 24, 'H': 1}"
random1556188,"{'Ti': 27, 'Zn': 27, 'H': 1}"
random472273,"{'Ca': 48, 'H': 97}"
random502479,"{'In': 48, 'Na': 16, 'H': 1}"
random243391,"{'Pd': 16, 'Tl': 32, 'H': 1}"
random1408921,"{'Al': 40, 'Pd': 20, 'H': 1}"
random694212,"{'Ag': 18, 'As': 12, 'K': 18, 'H': 1}"
random855076,"{'Pt': 30, 'Se': 24, 'H': 1}"
random1599528,"{'Si': 90, 'C': 90, 'H': 1}"
random249251,"{'P': 12, 'Y': 12, 'H': 1}"
random326589,"{'Ca': 16, 'Ge': 32, 'Pt': 32, 'H': 1}"
random1902356,"{'Hf': 16, 'Al': 24, 'Co': 8, 'H': 1}"
random2352791,"{'V': 27, 'Os': 27, 'H': 1}"
random2042976,"{'Na': 8, 'Al': 8, 'Te': 16, 'H': 1}"
random1237304,"{'Ca': 24, 'Pb': 12, 'H': 1}"
random655518,"{'Ag': 36, 'Sb': 36, 'S': 72, 'H': 1}"
random1221699,"{'Na': 48, 'Pd': 24, 'S': 48, 'H': 1}"
random1663057,"{'In': 16, 'S': 16, 'H': 1}"
random1281366,"{'Ge': 24, 'Sc': 24, 'H': 1}"
random416,"{'Al': 20, 'Rh': 8, 'H': 1}"
random1410031,"{'Os': 20, 'Se': 40, 'H': 1}"
random1847600,"{'Ag': 16, 'Zn': 48, 'H': 1}"
random550046,"{'Fe': 48, 'H': 1}"
random2137170,"{'Hf': 6, 'Al': 18, 'Ni': 72, 'H': 1}"
random1092124,"{'Si': 24, 'P': 48, 'H': 1}"
random678132,"{'S': 24, 'Si': 12, 'H': 1}"
random1467378,"{'Si': 138, 'H': 1}"
random1797449,"{'Y': 16, 'Ru': 32, 'H': 1}"
random575137,"{'Pb': 24, 'S': 24, 'H': 1}"
random1758401,"{'Y': 12, 'Ni': 24, 'P': 24, 'H': 1}"
random1324437,"{'Sr': 32, 'Pb': 16, 'H': 1}"
random918954,"{'Al': 156, 'Ru': 48, 'H': 1}"
random591540,"{'Cr': 24, 'Se': 48, 'H': 1}"
random2373456,"{'Hf': 36, 'Hg': 12, 'H': 1}"
random1628522,"{'Y': 18, 'Ni': 108, 'P': 63, 'H': 1}"
random1949421,"{'Fe': 42, 'Ni': 30, 'P': 24, 'H': 1}"
random1407772,"{'Ta': 36, 'W': 12, 'S': 96, 'H': 1}"
random1770852,"{'V': 48, 'Ir': 48, 'H': 1}"
random1457300,"{'Hf': 48, 'Hg': 24, 'H': 1}"
random2415120,"{'Y': 36, 'In': 36, 'Pd': 36, 'H': 1}"
random1918545,"{'Na': 6, 'Nb': 36, 'S': 48, 'H': 1}"
random1953997,"{'Zr': 16, 'Au': 64, 'H': 1}"
random1936311,"{'Te': 48, 'Ru': 24, 'H': 1}"
random1024707,"{'Al': 90, 'Cr': 14, 'H': 1}"
random793035,"{'Mn': 3, 'Cd': 9, 'Te': 12, 'H': 1}"
random213781,"{'Cd': 12, 'Cl': 24, 'H': 1}"
random2009771,"{'K': 24, 'S': 12, 'H': 1}"
random1555859,"{'Pd': 32, 'Pb': 32, 'H': 1}"
random540271,"{'Na': 16, 'Se': 32, 'H': 1}"
random757899,"{'Sc': 12, 'Te': 12, 'H': 1}"
random2351849,"{'Al': 45, 'Cr': 7, 'H': 1}"
random2292597,"{'Hf': 60, 'Ni': 12, 'Sb': 36, 'H': 1}"
random1958702,"{'As': 24, 'Pd': 12, 'H': 1}"
random781309,"{'V': 36, 'Ge': 12, 'C': 12, 'H': 1}"
random1722129,"{'Ca': 12, 'Ag': 32, 'H': 1}"
random2140222,"{'Cs': 3, 'Sr': 3, 'Cl': 9, 'H': 1}"
random2298838,"{'Ge': 16, 'Ru': 32, 'Ti': 16, 'H': 1}"
random1497260,"{'Nb': 24, 'S': 48, 'H': 1}"
random1907599,"{'Ca': 8, 'Cu': 16, 'As': 16, 'H': 1}"
random1823682,"{'Au': 60, 'Sc': 20, 'H': 1}"
random1719693,"{'Ni': 32, 'S': 64, 'H': 1}"
random413797,"{'Hf': 56, 'As': 32, 'H': 1}"
random1581881,"{'Hg': 24, 'K': 8, 'H': 1}"
random2098693,"{'Ag': 32, 'As': 32, 'S': 32, 'H': 1}"
